,alpha,delta,experiment,filename,filter,h,l,language,make-param,mean,min,s,size,tmean,var
10,,"[12519462, 81964925, 12775495, 12565224, 12554927, 48090746, 12584727, 12490227, 61144119, 58884436, 12556728, 12555730, 48218334, 12498362, 12667142, 47006488, 43166857, 29114446, 29608478, 12539860, 31053585, 57848214, 12575212, 30658470, 27865914, 12737557, 12828867, 13320827, 12788731, 13031028, 14167459, 12821501, 14254251, 12951595, 13287086, 12836636, 12572288, 14351511, 12921664, 14802098, 13464834, 12754026, 13162554, 13211157, 12971358, 13344582, 12668000, 13789399, 16589862, 14123131, 13321333, 14072934, 13682912, 12563349, 13144607, 13392328, 17163064, 13530743, 13235179, 12695983, 13268193, 13026794, 13251828, 12617122, 12814676, 19015218, 14289286, 13099758, 13339835, 12582825, 13181871, 13002171, 13158539, 18584894, 13680988, 14252978, 12568139, 13244276, 12741526, 13423227, 13367260, 37614178, 13397060, 12597972, 15157317, 13584360, 23313018, 13593240, 44019182, 13380438, 12585008, 13268593, 13485837, 13276032, 42241107, 13874977, 12631939, 13863633, 14979358, 35366449]",random-pixel-fixed-size,random2 200x200 (2124251098),hsl,99.0,0.0,asm1,o0shift,18788036.44,12490227,0.0,200,13402681.14,171041484386612.66
11,,"[10802845, 10516829, 10292301, 10678661, 44262786, 10610282, 10020226, 10631855, 20506550, 11986845, 38432500, 15160181, 23181846, 10336934, 10609336, 10096145, 30086068, 10632475, 10107153, 10691070, 12400073, 13330180, 10076566, 13800901, 10630872, 35656834, 10259190, 11017143, 11656123, 13236116, 13363826, 11431164, 13341227, 39160831, 18924344, 10954882, 10271223, 11298162, 10419547, 10047676, 10923491, 36366418, 11709092, 10169745, 10747425, 12578805, 10929132, 36785313, 10831323, 10028768, 22857968, 10325239, 10563152, 10605883, 10247250, 39476723, 10091875, 19809775, 13893820, 10592424, 17232533, 10048961, 10283922, 32617649, 11231541, 18913235, 10065238, 10770865, 10457980, 30444795, 10538249, 12516464, 16003015, 10271153, 10533932, 10926037, 9988308, 11097488, 39933580, 10613679, 17199632, 10220891, 10514054, 10307473, 10238737, 12330687, 39068623, 10463356, 10013331, 17676480, 10245679, 10451914, 10186604, 10227949, 33379922, 15739832, 10031839, 10306655, 15719163, 10179333]",random-pixel-fixed-size,random2 200x200 (2124251098),hsl,99.0,0.0,asm2,o0shift,15194441.67,9988308,0.0,200,11325953.78,78983746752802.78
12,,"[8645287, 8748335, 9371222, 8655377, 8647440, 8664458, 59998470, 8780217, 8657364, 8675854, 53183939, 8703407, 8730242, 35124132, 8718615, 8728670, 8662046, 8660856, 66563471, 8698904, 8691954, 8685515, 8668268, 8669254, 8678775, 40966868, 8725038, 12278438, 8722355, 11851030, 8695454, 8755930, 8700211, 8649818, 8700912, 29017195, 8699493, 31991829, 8710880, 20239188, 8666369, 30036784, 8705629, 36340068, 8684599, 8670801, 8658542, 8714625, 57518777, 8684963, 8662813, 8663170, 22913880, 40626481, 8669413, 9408146, 44349028, 8672859, 8674315, 29638088, 8732141, 8686669, 24100395, 9269172, 8668482, 48326217, 8713258, 8686675, 8718587, 33128744, 10027492, 10288431, 12450024, 12189314, 22323116, 21716720, 17185311, 21008610, 20777548, 20579054, 14454314, 20615517, 9000825, 20439862, 10676378, 9186333, 8822310, 8752399, 9107141, 9349279, 19245395, 9218120, 9025139, 9142232, 9153142, 9013548, 9080388, 8898531, 9453514, 9174187]",random-pixel-fixed-size,random2 200x200 (2124251098),blur,,,c,o0shift,15550605.75,8645287,,200,9737065.74,165469254761984.78
13,,"[10575543, 634672, 664915, 633940, 1191900, 715503, 635277, 637817, 636067, 636489, 636590, 635851, 637783, 637951, 635320, 636895, 634990, 635283, 635228, 637228, 635427, 677697, 649920, 645088, 640702, 637386, 634541, 635225, 636486, 636352, 637737, 636205, 635619, 635717, 635335, 636904, 636764, 674601, 635488, 636922, 635943, 687944, 636892, 635124, 636138, 635051, 634581, 636752, 635540, 638260, 636425, 637365, 636950, 657155, 636571, 637185, 635576, 634816, 637344, 636394, 635363, 636455, 636321, 636956, 636190, 636733, 635833, 636297, 637341, 659164, 636379, 636599, 636440, 638336, 636498, 637963, 636965, 638067, 636162, 635668, 636593, 636052, 809805, 635774, 635179, 679214, 635595, 635326, 636315, 636370, 635347, 635683, 634484, 637008, 636235, 636480, 636428, 636938, 637246, 635604]",random-pixel-fixed-size,random2 200x200 (2124251098),blur,,,asm1,o0shift,746467.7,633940,,200,636465.96,989189409138.0303
14,,"[568568, 567491, 569105, 566807, 566565, 566877, 566315, 566407, 566687, 566709, 569985, 570109, 566568, 566809, 570006, 583025, 566495, 566892, 566581, 566400, 570009, 566873, 566767, 35109210, 565680, 565640, 565262, 565506, 565341, 565476, 566343, 565387, 566104, 10915768, 565405, 579585, 565357, 565329, 565381, 565439, 565350, 566611, 565344, 565567, 565292, 565335, 565421, 565567, 565259, 565525, 565332, 565415, 565985, 579313, 565402, 565643, 565356, 566464, 566608, 17802398, 565543, 565589, 580620, 565552, 565296, 566346, 566263, 565436, 565268, 565634, 565277, 565500, 565454, 566312, 565473, 565445, 565424, 565521, 565381, 565473, 21180437, 566892, 565256, 565500, 578638, 565555, 565506, 567194, 12636582, 566068, 570796, 567539, 566818, 567615, 565662, 565652, 566312, 566510, 565344, 565820]",random-pixel-fixed-size,random2 200x200 (2124251098),blur,,,asm2,o0shift,1515059.53,565256,,200,566015.52,20990183818571.242
15,0.14674845465465455,"[3093872, 4537841, 3377163, 9526460, 3108553, 3088967, 3089770, 14870022, 3121508, 9523945, 7258465, 3135004, 3090784, 3171907, 14720177, 4195079, 3426625, 3144333, 3173745, 3150957, 3090603, 4037057, 3236156, 4745325, 5443507, 3599673, 3450029, 6285921, 4522501, 5124611, 3088704, 3121319, 3146589, 3545250, 3268275, 3176251, 3167032, 3142724, 3128230, 3169297, 3089992, 3188724, 3088219, 3169905, 3260046, 3130037, 3208875, 3089685, 3160694, 3090353, 3176819, 3091879, 3117680, 3160884, 4511533, 3316843, 3166327, 3182085, 3443011, 3095854, 3092331, 3167752, 3170439, 3206499, 3095720, 3226888, 12368662, 3114292, 3206780, 3258837, 3340409, 3088179, 3088305, 9419597, 3143970, 3093513, 4394315, 3262995, 3302242, 3110958, 3100420, 3217937, 3212727, 3173937, 3211054, 3167456, 3088784, 3092438, 3118123, 3166598, 3089669, 3119615, 3088879, 3350184, 3429949, 3180812, 3316281, 3089764, 3175696, 7862318]",random-pixel-fixed-size,random2 200x200 (2124251098),merge,,,c,o0shift,3944390.0,3088179,,200,3190075.38,4893912650687.111
16,0.14674845465465455,"[1140308, 302620, 330138, 296761, 292936, 292894, 291633, 301139, 301017, 301447, 645797, 301316, 301002, 300879, 300489, 300913, 300678, 301167, 358620, 301713, 303178, 301423, 301988, 301612, 307150, 301194, 301432, 301023, 301264, 301865, 304555, 300703, 301203, 300904, 340234, 301182, 301453, 301838, 303197, 301191, 301148, 301050, 301310, 300941, 300712, 300754, 300916, 300824, 300904, 300983, 300788, 300892, 300769, 300672, 300846, 300498, 300745, 301112, 300797, 321439, 300822, 300299, 301026, 301069, 300681, 300629, 300993, 300510, 300522, 300574, 300410, 300633, 300840, 300883, 300733, 304741, 301124, 300837, 300611, 300489, 300763, 301103, 300831, 300614, 300577, 35513046, 300666, 300443, 300306, 300617, 301023, 300742, 300446, 300605, 301035, 300639, 300556, 300513, 300843, 305080]",random-pixel-fixed-size,random2 200x200 (2124251098),merge,,,asm1,o0shift,666290.3,291633,,200,300926.52,12397719928030.92
17,0.14674845465465455,"[106897, 103228, 103093, 102684, 102633, 102596, 102669, 102644, 104443, 102611, 102712, 102691, 102660, 102660, 102651, 102617, 102642, 102471, 102550, 102571, 102605, 106021, 102718, 309524, 102752, 102691, 102654, 102538, 102590, 102611, 102513, 102697, 102605, 102669, 102681, 102633, 102532, 102688, 102712, 102538, 102562, 102593, 102660, 17464609, 102889, 102620, 102919, 102794, 102324, 102605, 102550, 102556, 102596, 102654, 102562, 141722, 102586, 102477, 102678, 102602, 102791, 102660, 102599, 102895, 102715, 102684, 102590, 102678, 102593, 103136, 102663, 102584, 102486, 102532, 102547, 102532, 102440, 102562, 102623, 102602, 102721, 102804, 102679, 102627, 102611, 102547, 104934, 102633, 102550, 102587, 102544, 102614, 102623, 102633, 102654, 102526, 102541, 102583, 102657, 102526]",random-pixel-fixed-size,random2 200x200 (2124251098),merge,,,asm2,o0shift,278837.59,102324,,200,102631.48,3013916934660.7495
18,,"[31340868, 32360062, 30769256, 34219173, 32719009, 27997644, 31570179, 31215487, 24909425, 27608971, 27733045, 34068937, 57137742, 67263128, 53050851, 49849867, 35879554, 24905462, 24295208, 27817304, 31420624, 47376580, 51837973, 57348205, 54143690, 43068886, 65239157, 47916062, 38580730, 63775237, 45226679, 37012517, 24487244, 64848723, 28331880, 70561045, 80308235, 61494268, 24249959, 72891244, 59154090, 54580579, 24663081, 24246421, 24213532, 41293100, 25702266, 24429948, 24242547, 41583347, 24465249, 24347023, 24272136, 41955711, 28223093, 28840488, 24522992, 46356039, 25382128, 25261866, 24460169, 44956475, 24905750, 24462605, 40790872, 25864581, 24266602, 24364948, 39735446, 28043592, 24333491, 24251992, 37104313, 34483622, 77555076, 48651889, 26847195, 29789218, 26572480, 24652167, 24550350, 24649457, 24392196, 26715581, 58217271, 70714574, 59068778, 24355143, 59121824, 35973901, 52718938, 59247934, 24335524, 24394971, 24244406, 24240703, 24462336, 24627997, 24271980, 24264172]",hsl-force-first-if,hsl-empty-if-0-0-0 400x400 (1956297539),hsl,0.0,0.0,c,o0shift,37252262.65,24213532,0.0,400,32003587.6,236714767729968.97
19,,"[26298900, 26472528, 26052608, 26083046, 26070176, 26187232, 26199595, 26358564, 26226192, 26202547, 26187555, 26121518, 26616444, 26215988, 26159966, 26103898, 26075344, 60965971, 37850620, 60911490, 60865438, 26061137, 60902787, 61069839, 61206237, 26098718, 26388086, 26249335, 26105034, 26086797, 26116597, 30182501, 27372572, 26377295, 26111719, 26114198, 26200151, 26446132, 26182788, 26232231, 26161794, 33930418, 26386190, 28689777, 27046380, 27793078, 26160113, 26295161, 26526819, 38974254, 26309307, 99157160, 27244459, 79432751, 49805308, 43459159, 37943658, 45851415, 26791400, 39872958, 48928699, 33373783, 32431482, 41491194, 31456337, 35430960, 27799134, 63003773, 28348440, 50072063, 28709862, 33693171, 47833394, 34252596, 32503539, 47433441, 37857937, 27112406, 26975016, 51467188, 32005511, 61766181, 50568020, 76631218, 27558178, 37818864, 45664441, 26822326, 35954484, 41340761, 28528326, 38617050, 26803778, 41495038, 41810051, 46841063, 27105454, 26435277, 51568487, 27176171]",hsl-force-first-if,hsl-empty-if-0-0-0 400x400 (1956297539),hsl,0.0,0.0,asm1,o0shift,35902464.27,26052608,0.0,400,30560377.46,198881780055901.1
