,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
28,,"0    11493375
1     2201155
2     1602308
3     1600696
4     1664661
dtype: float64",fixed 316x316 (1374344043).bmp,blur,,,asm1,3712439.0,0,,3712439.0,18983112609311.5,fixed,316,316,1374344043
29,,"0     1974100
1     2018272
2     2015826
3     1997240
4    12794385
dtype: float64",fixed 352x352 (1918502651).bmp,blur,,,asm1,4159964.6,0,,4159964.6,23298193729454.8,fixed,352,352,1918502651
30,,"0    278720
1    278592
2    275485
3    276211
4    278937
dtype: float64",fixed 132x132 (1315634022).bmp,blur,,,asm1,277589.0,0,,277589.0,2606993.5,fixed,132,132,1315634022
31,,"0    636098
1    631974
2    632689
3    638788
4    636837
dtype: float64",random1 200x200 (1889947178).bmp,blur,,,asm1,635277.2,0,,635277.2,8260578.700012207,random1,200,200,1889947178
32,,"0    634282
1    637139
2    633543
3    631760
4    634135
dtype: float64",random2 200x200 (2081421295).bmp,blur,,,asm1,634171.8,0,,634171.8,3757485.700012207,random2,200,200,2081421295
33,,"0    633006
1    633329
2    630381
3    631458
4    630759
dtype: float64",random1 200x200 (1631518149).bmp,blur,,,asm1,631786.6,0,,631786.6,1751396.299987793,random1,200,200,1631518149
34,,"0    175798
1    178185
2    176351
3    176552
4    176616
dtype: float64",fixed 100x100 (336465782).bmp,blur,,,asm1,176700.4,0,,176700.4,792397.3000030518,fixed,100,100,336465782
35,,"0    612290
1    634065
2    633607
3    673774
4    612932
dtype: float64",random2 200x200 (1665194694).bmp,blur,,,asm1,633333.6,0,,633333.6,623773507.2999878,random2,200,200,1665194694
36,,"0     638088
1     640558
2     614437
3    1124452
4     665681
dtype: float64",random1 200x200 (1346811305).bmp,blur,,,asm1,736643.2,0,,736643.2,47327786902.69995,random1,200,200,1346811305
37,,"0    1044278
1    1034943
2    1035587
3    1036381
4    1037348
dtype: float64",fixed 256x256 (1827336327).bmp,blur,,,asm1,1037707.4,0,,1037707.4,14299823.300048828,fixed,256,256,1827336327
38,,"0    1343848
1    1069038
2    1070720
3    1100544
4    1093670
dtype: float64",fixed 260x260 (572660336).bmp,blur,,,asm1,1135564.0,0,,1135564.0,13748546326.0,fixed,260,260,572660336
