,alpha,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
45,,random1 200x200 (1973594324).bmp,blur,,,asm2,1432555.4,0,,1432555.4,3701705597119.8,random1,200,200,1973594324
46,,random1 200x200 (1359512183).bmp,blur,,,asm2,616559.8,0,,616559.8,8814712051.70001,random1,200,200,1359512183
47,,random1 200x200 (570073850).bmp,blur,,,asm2,576482.6,0,,576482.6,24478321.2999878,random1,200,200,570073850
48,,fixed 152x152 (2089018456).bmp,blur,,,asm2,332947,0,,332947,746030,fixed,152,152,2089018456
49,,random2 200x200 (594662880).bmp,blur,,,asm2,569934.2,0,,569934.2,813673.200012207,random2,200,200,594662880
50,,fixed 84x84 (35005211).bmp,blur,,,asm2,103116,0,,103116,118499.5,fixed,84,84,35005211
51,,random2 200x200 (2099086020).bmp,blur,,,asm2,595967,0,,595967,2421746476.5,random2,200,200,2099086020
52,,random1 200x200 (1600028624).bmp,blur,,,asm2,570833,0,,570833,160592540.5,random1,200,200,1600028624
53,,random1 200x200 (620145550).bmp,blur,,,asm2,571662.2,0,,571662.2,10979017.2000122,random1,200,200,620145550
54,,fixed 368x368 (1264095060).bmp,blur,,,asm2,2316310,0,,2316310,532224136850.5,fixed,368,368,1264095060
55,,random1 200x200 (292218004).bmp,blur,,,asm2,566869.8,0,,566869.8,82658802.7000122,random1,200,200,292218004
56,,fixed 296x296 (2001100545).bmp,blur,,,asm2,1256606.2,0,,1256606.2,145479351.699951,fixed,296,296,2001100545
57,,random1 200x200 (749241873).bmp,blur,,,asm2,574251.4,0,,574251.4,40905088.2999878,random1,200,200,749241873
58,,random1 200x200 (338888228).bmp,blur,,,asm2,579100.2,0,,579100.2,899569578.700012,random1,200,200,338888228
59,,fixed 184x184 (756898537).bmp,blur,,,asm2,1083258,0,,1083258,1771855780912,fixed,184,184,756898537
60,,fixed 204x204 (1129566413).bmp,blur,,,asm2,2251786,0,,2251786,12797867196170.5,fixed,204,204,1129566413
61,,fixed 364x364 (2053999932).bmp,blur,,,asm2,1907852.4,0,,1907852.4,617488854.299805,fixed,364,364,2053999932
62,,fixed 248x248 (2084420925).bmp,blur,,,asm2,926153.8,0,,926153.8,13036858166.7,fixed,248,248,2084420925
63,,random2 200x200 (959798838).bmp,blur,,,asm2,1675535.8,0,,1675535.8,5464527931674.7,random2,200,200,959798838
64,,random2 200x200 (25750299).bmp,blur,,,asm2,577857.6,0,,577857.6,218766295.299988,random2,200,200,25750299
65,,random2 200x200 (766480852).bmp,blur,,,asm2,570536.8,0,,570536.8,1541295.20001221,random2,200,200,766480852
66,,random1 200x200 (1264095060).bmp,blur,,,asm2,575912.6,0,,575912.6,85794706.2999878,random1,200,200,1264095060
67,,fixed 264x264 (1159126505).bmp,blur,,,asm2,1011269.2,0,,1011269.2,465755847.699951,fixed,264,264,1159126505
68,,random1 200x200 (155324914).bmp,blur,,,asm2,570965.4,0,,570965.4,7712061.79998779,random1,200,200,155324914
69,,random2 200x200 (901471110).bmp,blur,,,asm2,988104.8,0,,988104.8,832019472964.7,random2,200,200,901471110
70,,fixed 148x148 (1059961393).bmp,blur,,,asm2,320844.2,0,,320844.2,323173651.699997,fixed,148,148,1059961393
71,,random2 200x200 (954978700).bmp,blur,,,asm2,2421233.2,0,,2421233.2,11231803243040.7,random2,200,200,954978700
72,,fixed 108x108 (278722862).bmp,blur,,,asm2,165963.4,0,,165963.4,87026.3000030518,fixed,108,108,278722862
73,,random1 200x200 (1350490027).bmp,blur,,,asm2,582956,0,,582956,414308638.5,random1,200,200,1350490027
74,,random1 200x200 (84353895).bmp,blur,,,asm2,583519,0,,583519,652334400,random1,200,200,84353895
75,,random1 200x200 (407487131).bmp,blur,,,asm2,577907.8,0,,577907.8,333981347.700012,random1,200,200,407487131
76,,fixed 284x284 (1141616124).bmp,blur,,,asm2,1212369.8,0,,1212369.8,17559808320.2,fixed,284,284,1141616124
77,,fixed 164x164 (1131176229).bmp,blur,,,asm2,384871,0,,384871,515646.5,fixed,164,164,1131176229
78,,fixed 328x328 (356426808).bmp,blur,,,asm2,2207263.4,0,,2207263.4,2260752716507.3,fixed,328,328,356426808
79,,fixed 44x44 (1025202362).bmp,blur,,,asm2,28487.8,0,,28487.8,280427.700000048,fixed,44,44,1025202362
80,,random2 200x200 (250037052).bmp,blur,,,asm2,574616.2,0,,574616.2,81391119.7000122,random2,200,200,250037052
81,,random2 200x200 (1113699290).bmp,blur,,,asm2,587828.6,0,,587828.6,1144016493.79999,random2,200,200,1113699290
82,,random1 200x200 (87755422).bmp,blur,,,asm2,637619.2,0,,637619.2,19012374836.7,random1,200,200,87755422
83,,random1 200x200 (1760281936).bmp,blur,,,asm2,573085.8,0,,573085.8,11084177.2000122,random1,200,200,1760281936
84,,random1 200x200 (552473416).bmp,blur,,,asm2,583137,0,,583137,336148351,random1,200,200,552473416
