,alpha,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
1118,0,random1 200x200 (950390868).bmp,merge,,,asm1,309068.2,0,,309068.2,7006837.19999695,random1,200,200,950390868
1119,0.1467484547,random1 200x200 (950390868).bmp,merge,,,asm1,309932,0,,309932,7240426,random1,200,200,950390868
1120,0,fixed 56x56 (1102520059).bmp,merge,,,asm1,24485.8,0,,24485.8,123472.700000048,fixed,56,56,1102520059
1121,0.1467484547,fixed 56x56 (1102520059).bmp,merge,,,asm1,24194.6,0,,24194.6,11649.7999999523,fixed,56,56,1102520059
1122,0,fixed 128x128 (1801979802).bmp,merge,,,asm1,122514.2,0,,122514.2,5710364.70000076,fixed,128,128,1801979802
1123,0.1467484547,fixed 128x128 (1801979802).bmp,merge,,,asm1,125284.2,0,,125284.2,33479714.7000008,fixed,128,128,1801979802
1124,0,random1 200x200 (2112255763).bmp,merge,,,asm1,310939.2,0,,310939.2,21923729.1999969,random1,200,200,2112255763
1125,0.1467484547,random1 200x200 (2112255763).bmp,merge,,,asm1,355032.6,0,,355032.6,10666851530.8,random1,200,200,2112255763
1126,0,fixed 236x236 (982906996).bmp,merge,,,asm1,432015.8,0,,432015.8,48254771.2000122,fixed,236,236,982906996
1127,0.1467484547,fixed 236x236 (982906996).bmp,merge,,,asm1,433418.2,0,,433418.2,148906039.200012,fixed,236,236,982906996
1128,0,random2 200x200 (279861221).bmp,merge,,,asm1,308336.4,0,,308336.4,2278143.80000305,random2,200,200,279861221
1129,0.1467484547,random2 200x200 (279861221).bmp,merge,,,asm1,1107152.2,0,,1107152.2,3185379491355.2,random2,200,200,279861221
1130,0,random2 200x200 (211996288).bmp,merge,,,asm1,307507.4,0,,307507.4,58864.3000030518,random2,200,200,211996288
1131,0.1467484547,random2 200x200 (211996288).bmp,merge,,,asm1,307421.4,0,,307421.4,348449.800003052,random2,200,200,211996288
1132,0,fixed 32x32 (1649760492).bmp,merge,,,asm1,8566.4,0,,8566.4,62484.299999997,fixed,32,32,1649760492
1133,0.1467484547,fixed 32x32 (1649760492).bmp,merge,,,asm1,8468.6,0,,8468.6,27064.299999997,fixed,32,32,1649760492
1134,0,random1 200x200 (498777856).bmp,merge,,,asm1,307498,0,,307498,1075766.5,random1,200,200,498777856
1135,0.1467484547,random1 200x200 (498777856).bmp,merge,,,asm1,307301.6,0,,307301.6,366992.800003052,random1,200,200,498777856
1136,0,fixed 28x28 (719885386).bmp,merge,,,asm1,6558.8,0,,6558.8,219291.700000003,fixed,28,28,719885386
1137,0.1467484547,fixed 28x28 (719885386).bmp,merge,,,asm1,6402.8,0,,6402.8,41317.700000003,fixed,28,28,719885386
1138,0,random1 200x200 (760313750).bmp,merge,,,asm1,319212.8,0,,319212.8,732288508.699997,random1,200,200,760313750
1139,0.1467484547,random1 200x200 (760313750).bmp,merge,,,asm1,316068.4,0,,316068.4,682776086.300003,random1,200,200,760313750
1140,0,random1 200x200 (184803526).bmp,merge,,,asm1,307505.6,0,,307505.6,135467.300003052,random1,200,200,184803526
1141,0.1467484547,random1 200x200 (184803526).bmp,merge,,,asm1,307411.4,0,,307411.4,749272.300003052,random1,200,200,184803526
1142,0,random2 200x200 (369554448).bmp,merge,,,asm1,310188,0,,310188,36611552,random2,200,200,369554448
1143,0.1467484547,random2 200x200 (369554448).bmp,merge,,,asm1,306138,0,,306138,22460236,random2,200,200,369554448
1144,0,random2 200x200 (204557828).bmp,merge,,,asm1,1097862.6,0,,1097862.6,3071651280486.8,random2,200,200,204557828
1145,0.1467484547,random2 200x200 (204557828).bmp,merge,,,asm1,307627.8,0,,307627.8,991863.199996948,random2,200,200,204557828
1146,0,random2 200x200 (468736315).bmp,merge,,,asm1,311135.8,0,,311135.8,122808161.199997,random2,200,200,468736315
1147,0.1467484547,random2 200x200 (468736315).bmp,merge,,,asm1,314123.8,0,,314123.8,219980178.699997,random2,200,200,468736315
1148,0,random1 200x200 (1876855542).bmp,merge,,,asm1,307265,0,,307265,237874,random1,200,200,1876855542
1149,0.1467484547,random1 200x200 (1876855542).bmp,merge,,,asm1,307545.8,0,,307545.8,98489.6999969483,random1,200,200,1876855542
1150,0,fixed 36x36 (596516649).bmp,merge,,,asm1,10441,0,,10441,26374.5,fixed,36,36,596516649
1151,0.1467484547,fixed 36x36 (596516649).bmp,merge,,,asm1,10589.8,0,,10589.8,55536.1999999881,fixed,36,36,596516649
1152,0,fixed 52x52 (783368690).bmp,merge,,,asm1,21071.8,0,,21071.8,26461.7000000477,fixed,52,52,783368690
1153,0.1467484547,fixed 52x52 (783368690).bmp,merge,,,asm1,21340.2,0,,21340.2,241680.700000048,fixed,52,52,783368690
1154,0,random2 200x200 (2124251098).bmp,merge,,,asm1,307687.8,0,,307687.8,1558250.69999695,random2,200,200,2124251098
1155,0.1467484547,random2 200x200 (2124251098).bmp,merge,,,asm1,307156.4,0,,307156.4,135127.300003052,random2,200,200,2124251098
1156,0,random2 200x200 (1904101559).bmp,merge,,,asm1,346868,0,,346868,8964430388.5,random2,200,200,1904101559
1157,0.1467484547,random2 200x200 (1904101559).bmp,merge,,,asm1,311886.4,0,,311886.4,100792351.300003,random2,200,200,1904101559
1158,0,random1 200x200 (1784639529).bmp,merge,,,asm1,798161.2,0,,798161.2,473094619078.2,random1,200,200,1784639529
1159,0.1467484547,random1 200x200 (1784639529).bmp,merge,,,asm1,3666963.8,0,,3666963.8,32192355465613.2,random1,200,200,1784639529
1160,0,random2 200x200 (1940591161).bmp,merge,,,asm1,658101.6,0,,658101.6,354104489848.3,random2,200,200,1940591161
1161,0.1467484547,random2 200x200 (1940591161).bmp,merge,,,asm1,311938.6,0,,311938.6,59766260.8000031,random2,200,200,1940591161
1162,0,random1 200x200 (1411154259).bmp,merge,,,asm1,306129,0,,306129,8967894,random1,200,200,1411154259
1163,0.1467484547,random1 200x200 (1411154259).bmp,merge,,,asm1,331862.4,0,,331862.4,3004008227.79999,random1,200,200,1411154259
1164,0,random2 200x200 (1054231799).bmp,merge,,,asm1,308494.2,0,,308494.2,2844519.69999695,random2,200,200,1054231799
1165,0.1467484547,random2 200x200 (1054231799).bmp,merge,,,asm1,307407.4,0,,307407.4,205079.800003052,random2,200,200,1054231799
1166,0,random2 200x200 (696556207).bmp,merge,,,asm1,305413.8,0,,305413.8,22296165.6999969,random2,200,200,696556207
1167,0.1467484547,random2 200x200 (696556207).bmp,merge,,,asm1,1417288,0,,1417288,6161732525186,random2,200,200,696556207
1168,0,fixed 400x400 (1956297539).bmp,merge,,,asm1,1274242.4,0,,1274242.4,403738458.300049,fixed,400,400,1956297539
1169,0.1467484547,fixed 400x400 (1956297539).bmp,merge,,,asm1,1650233.4,0,,1650233.4,695132759244.8,fixed,400,400,1956297539
1170,0,random2 200x200 (923192533).bmp,merge,,,asm1,1437630.8,0,,1437630.8,6367581078335.7,random2,200,200,923192533
1171,0.1467484547,random2 200x200 (923192533).bmp,merge,,,asm1,306874.2,0,,306874.2,31776954.1999969,random2,200,200,923192533
1172,0,fixed 356x356 (752392754).bmp,merge,,,asm1,1043009.2,0,,1043009.2,9691857646.19995,fixed,356,356,752392754
1173,0.1467484547,fixed 356x356 (752392754).bmp,merge,,,asm1,989967.2,0,,989967.2,449231050.699951,fixed,356,356,752392754
1174,0,random1 200x200 (1967681095).bmp,merge,,,asm1,3225342.2,0,,3225342.2,41170870098459.2,random1,200,200,1967681095
1175,0.1467484547,random1 200x200 (1967681095).bmp,merge,,,asm1,306105,0,,306105,23010354.5,random1,200,200,1967681095
1176,0,random1 200x200 (1884167637).bmp,merge,,,asm1,308922.6,0,,308922.6,6827378.80000305,random1,200,200,1884167637
1177,0.1467484547,random1 200x200 (1884167637).bmp,merge,,,asm1,307992.6,0,,307992.6,964363.300003052,random1,200,200,1884167637
1178,0,random1 200x200 (1626276121).bmp,merge,,,asm1,308177.4,0,,308177.4,2298330.30000305,random1,200,200,1626276121
1179,0.1467484547,random1 200x200 (1626276121).bmp,merge,,,asm1,1609482,0,,1609482,8484393932721.5,random1,200,200,1626276121
1180,0,fixed 156x156 (628175011).bmp,merge,,,asm1,844516.6,0,,844516.6,2182154640928.8,fixed,156,156,628175011
1181,0.1467484547,fixed 156x156 (628175011).bmp,merge,,,asm1,183846,0,,183846,241913.5,fixed,156,156,628175011
1182,0,random2 200x200 (880121610).bmp,merge,,,asm1,308094.6,0,,308094.6,2456639.30000305,random2,200,200,880121610
1183,0.1467484547,random2 200x200 (880121610).bmp,merge,,,asm1,310920.2,0,,310920.2,55651914.699997,random2,200,200,880121610
1184,0,fixed 288x288 (84353895).bmp,merge,,,asm1,2231397,0,,2231397,12701463633700,fixed,288,288,84353895
1185,0.1467484547,fixed 288x288 (84353895).bmp,merge,,,asm1,670747.6,0,,670747.6,2392118751.30005,fixed,288,288,84353895
1186,0,fixed 12x12 (1681692777).bmp,merge,,,asm1,1754.4,0,,1754.4,12759.7999999998,fixed,12,12,1681692777
1187,0.1467484547,fixed 12x12 (1681692777).bmp,merge,,,asm1,1851.2,0,,1851.2,34887.7000000002,fixed,12,12,1681692777
1188,0,random2 200x200 (663282821).bmp,merge,,,asm1,305298.4,0,,305298.4,21785614.3000031,random2,200,200,663282821
1189,0.1467484547,random2 200x200 (663282821).bmp,merge,,,asm1,307400.6,0,,307400.6,300619.300003052,random2,200,200,663282821
1190,0,fixed 312x312 (1585990364).bmp,merge,,,asm1,758825,0,,758825,595725821.5,fixed,312,312,1585990364
1191,0.1467484547,fixed 312x312 (1585990364).bmp,merge,,,asm1,752110.4,0,,752110.4,7660962.80004883,fixed,312,312,1585990364
1192,0,fixed 228x228 (137806862).bmp,merge,,,asm1,402499.6,0,,402499.6,40414005.2999878,fixed,228,228,137806862
1193,0.1467484547,fixed 228x228 (137806862).bmp,merge,,,asm1,402177,0,,402177,40184041.5,fixed,228,228,137806862
1194,0,random1 200x200 (1472713773).bmp,merge,,,asm1,307326,0,,307326,241894,random1,200,200,1472713773
1195,0.1467484547,random1 200x200 (1472713773).bmp,merge,,,asm1,318940.6,0,,318940.6,576001198.300003,random1,200,200,1472713773
1196,0,random2 200x200 (159286226).bmp,merge,,,asm1,305059.8,0,,305059.8,16241911.699997,random2,200,200,159286226
1197,0.1467484547,random2 200x200 (159286226).bmp,merge,,,asm1,311063.6,0,,311063.6,74714213.3000031,random2,200,200,159286226
1198,0,random1 200x200 (1967513926).bmp,merge,,,asm1,431243.8,0,,431243.8,74543872593.7,random1,200,200,1967513926
1199,0.1467484547,random1 200x200 (1967513926).bmp,merge,,,asm1,307196.2,0,,307196.2,166971.199996948,random1,200,200,1967513926
1200,0,fixed 324x324 (1477171087).bmp,merge,,,asm1,1698041.6,0,,1698041.6,3929821641814.8,fixed,324,324,1477171087
1201,0.1467484547,fixed 324x324 (1477171087).bmp,merge,,,asm1,3568179,0,,3568179,38003456158154,fixed,324,324,1477171087
1202,0,fixed 280x280 (1433925857).bmp,merge,,,asm1,609259.2,0,,609259.2,221441352.700012,fixed,280,280,1433925857
1203,0.1467484547,fixed 280x280 (1433925857).bmp,merge,,,asm1,606830.4,0,,606830.4,109133402.299988,fixed,280,280,1433925857
1204,0,random2 200x200 (532333135).bmp,merge,,,asm1,311126,0,,311126,75928064.5,random2,200,200,532333135
1205,0.1467484547,random2 200x200 (532333135).bmp,merge,,,asm1,308207.8,0,,308207.8,2238812.19999695,random2,200,200,532333135
1206,0,random2 200x200 (1991128557).bmp,merge,,,asm1,2116546,0,,2116546,10903780568078.5,random2,200,200,1991128557
1207,0.1467484547,random2 200x200 (1991128557).bmp,merge,,,asm1,307726,0,,307726,596066.5,random2,200,200,1991128557
1208,0,fixed 176x176 (1914544919).bmp,merge,,,asm1,1278452.4,0,,1278452.4,5449885356619.8,fixed,176,176,1914544919
1209,0.1467484547,fixed 176x176 (1914544919).bmp,merge,,,asm1,234297.6,0,,234297.6,411905.800003052,fixed,176,176,1914544919
1210,0,fixed 68x68 (1365180540).bmp,merge,,,asm1,35541.6,0,,35541.6,53633.7999999523,fixed,68,68,1365180540
1211,0.1467484547,fixed 68x68 (1365180540).bmp,merge,,,asm1,35373.2,0,,35373.2,47508.2000000477,fixed,68,68,1365180540
1212,0,random1 200x200 (1726956429).bmp,merge,,,asm1,307899.4,0,,307899.4,1786180.80000305,random1,200,200,1726956429
1213,0.1467484547,random1 200x200 (1726956429).bmp,merge,,,asm1,307883.6,0,,307883.6,119091.300003052,random1,200,200,1726956429
1214,0,fixed 380x380 (943947739).bmp,merge,,,asm1,2381378.8,0,,2381378.8,8067487534301.2,fixed,380,380,943947739
1215,0.1467484547,fixed 380x380 (943947739).bmp,merge,,,asm1,1116004.2,0,,1116004.2,175288267.699951,fixed,380,380,943947739
1216,0,random1 200x200 (2086206725).bmp,merge,,,asm1,312936.8,0,,312936.8,178085489.699997,random1,200,200,2086206725
1217,0.1467484547,random1 200x200 (2086206725).bmp,merge,,,asm1,358161.4,0,,358161.4,12952034085.3,random1,200,200,2086206725
1218,0,random1 200x200 (1984210012).bmp,merge,,,asm1,319343.2,0,,319343.2,325120542.199997,random1,200,200,1984210012
1219,0.1467484547,random1 200x200 (1984210012).bmp,merge,,,asm1,307366.4,0,,307366.4,303164.800003052,random1,200,200,1984210012
1220,0,random2 200x200 (1960721183).bmp,merge,,,asm1,307370.6,0,,307370.6,234530.300003052,random2,200,200,1960721183
1221,0.1467484547,random2 200x200 (1960721183).bmp,merge,,,asm1,314758,0,,314758,290442294.5,random2,200,200,1960721183
1222,0,random1 200x200 (1371499336).bmp,merge,,,asm1,330236.2,0,,330236.2,2608256823.2,random1,200,200,1371499336
1223,0.1467484547,random1 200x200 (1371499336).bmp,merge,,,asm1,307522.4,0,,307522.4,215767.300003052,random1,200,200,1371499336
1224,0,fixed 104x104 (861021530).bmp,merge,,,asm1,82281.8,0,,82281.8,186618.199999809,fixed,104,104,861021530
1225,0.1467484547,fixed 104x104 (861021530).bmp,merge,,,asm1,82305.8,0,,82305.8,154546.699999809,fixed,104,104,861021530
1226,0,fixed 48x48 (1350490027).bmp,merge,,,asm1,17908.4,0,,17908.4,162396.800000012,fixed,48,48,1350490027
1227,0.1467484547,fixed 48x48 (1350490027).bmp,merge,,,asm1,18024.6,0,,18024.6,84516.8000000119,fixed,48,48,1350490027
1228,0,random1 200x200 (1303455736).bmp,merge,,,asm1,586462,0,,586462,396915052830.5,random1,200,200,1303455736
1229,0.1467484547,random1 200x200 (1303455736).bmp,merge,,,asm1,305036.2,0,,305036.2,20082987.1999969,random1,200,200,1303455736
1230,0,random2 200x200 (438714404).bmp,merge,,,asm1,307139.4,0,,307139.4,174728.300003052,random2,200,200,438714404
1231,0.1467484547,random2 200x200 (438714404).bmp,merge,,,asm1,1621247.4,0,,1621247.4,8634539172496.8,random2,200,200,438714404
1232,0,random2 200x200 (1337225634).bmp,merge,,,asm1,307217,0,,307217,40380,random2,200,200,1337225634
1233,0.1467484547,random2 200x200 (1337225634).bmp,merge,,,asm1,307471.6,0,,307471.6,152323504.800003,random2,200,200,1337225634
1234,0,fixed 232x232 (42999170).bmp,merge,,,asm1,415020,0,,415020,12778943.5,fixed,232,232,42999170
1235,0.1467484547,fixed 232x232 (42999170).bmp,merge,,,asm1,459036.6,0,,459036.6,10144246470.8,fixed,232,232,42999170
1236,0,random1 200x200 (233665123).bmp,merge,,,asm1,307480.4,0,,307480.4,474575.800003052,random1,200,200,233665123
1237,0.1467484547,random1 200x200 (233665123).bmp,merge,,,asm1,307121.6,0,,307121.6,338180.800003052,random1,200,200,233665123
1238,0,random1 200x200 (502278611).bmp,merge,,,asm1,310283,0,,310283,155919108.5,random1,200,200,502278611
1239,0.1467484547,random1 200x200 (502278611).bmp,merge,,,asm1,316225.8,0,,316225.8,346443499.699997,random1,200,200,502278611
1240,0,fixed 304x304 (1548233367).bmp,merge,,,asm1,710602.6,0,,710602.6,2781521.30004883,fixed,304,304,1548233367
1241,0.1467484547,fixed 304x304 (1548233367).bmp,merge,,,asm1,715402.6,0,,715402.6,577072551.800049,fixed,304,304,1548233367
1242,0,fixed 144x144 (1125898167).bmp,merge,,,asm1,159869.2,0,,159869.2,52138899.2000008,fixed,144,144,1125898167
1243,0.1467484547,fixed 144x144 (1125898167).bmp,merge,,,asm1,156941.4,0,,156941.4,43205.2999992371,fixed,144,144,1125898167
1244,0,random2 200x200 (582362178).bmp,merge,,,asm1,1439325.2,0,,1439325.2,6432127565266.7,random2,200,200,582362178
1245,0.1467484547,random2 200x200 (582362178).bmp,merge,,,asm1,307731,0,,307731,921325,random2,200,200,582362178
1246,0,fixed 300x300 (1998898814).bmp,merge,,,asm1,683252.6,0,,683252.6,140897666.800049,fixed,300,300,1998898814
1247,0.1467484547,fixed 300x300 (1998898814).bmp,merge,,,asm1,693676.2,0,,693676.2,14710894.6999512,fixed,300,300,1998898814
1248,0,random2 200x200 (105197541).bmp,merge,,,asm1,317835,0,,317835,358143374,random2,200,200,105197541
1249,0.1467484547,random2 200x200 (105197541).bmp,merge,,,asm1,311319.6,0,,311319.6,95373324.3000031,random2,200,200,105197541
1250,0,random2 200x200 (2116845032).bmp,merge,,,asm1,388660.2,0,,388660.2,35365391784.2,random2,200,200,2116845032
1251,0.1467484547,random2 200x200 (2116845032).bmp,merge,,,asm1,307396,0,,307396,294676.5,random2,200,200,2116845032
1252,0,fixed 292x292 (939819582).bmp,merge,,,asm1,2734513.6,0,,2734513.6,21593155672279.3,fixed,292,292,939819582
1253,0.1467484547,fixed 292x292 (939819582).bmp,merge,,,asm1,893316.8,0,,893316.8,282263689769.2,fixed,292,292,939819582
1254,0,fixed 4x4 (1804289383).bmp,merge,,,asm1,832.2,0,,832.2,37376.2,fixed,4,4,1804289383
1255,0.1467484547,fixed 4x4 (1804289383).bmp,merge,,,asm1,929.6,0,,929.6,110585.3,fixed,4,4,1804289383
1256,0,random1 200x200 (1947346619).bmp,merge,,,asm1,308782.4,0,,308782.4,114998177.300003,random1,200,200,1947346619
1257,0.1467484547,random1 200x200 (1947346619).bmp,merge,,,asm1,308358.8,0,,308358.8,1295841.19999695,random1,200,200,1947346619
1258,0,random1 200x200 (1057467587).bmp,merge,,,asm1,305201,0,,305201,20237458,random1,200,200,1057467587
1259,0.1467484547,random1 200x200 (1057467587).bmp,merge,,,asm1,307642.4,0,,307642.4,284605.300003052,random1,200,200,1057467587
1260,0,fixed 192x192 (1973594324).bmp,merge,,,asm1,3405123.4,0,,3405123.4,48644554933751.3,fixed,192,192,1973594324
1261,0.1467484547,fixed 192x192 (1973594324).bmp,merge,,,asm1,552032.2,0,,552032.2,361903845303.7,fixed,192,192,1973594324
1262,0,fixed 376x376 (1843993368).bmp,merge,,,asm1,1369888.4,0,,1369888.4,199947182001.8,fixed,376,376,1843993368
1263,0.1467484547,fixed 376x376 (1843993368).bmp,merge,,,asm1,1096885.6,0,,1096885.6,560538257.800049,fixed,376,376,1843993368
1264,0,fixed 372x372 (1411549676).bmp,merge,,,asm1,1642334.8,0,,1642334.8,1630354764093.2,fixed,372,372,1411549676
1265,0.1467484547,fixed 372x372 (1411549676).bmp,merge,,,asm1,1081303.6,0,,1081303.6,448047443.300049,fixed,372,372,1411549676
1266,0,random1 200x200 (446340713).bmp,merge,,,asm1,310674,0,,310674,53400970,random1,200,200,446340713
1267,0.1467484547,random1 200x200 (446340713).bmp,merge,,,asm1,307425.4,0,,307425.4,377193.300003052,random1,200,200,446340713
1268,0,fixed 112x112 (233665123).bmp,merge,,,asm1,95202.6,0,,95202.6,112372.299999237,fixed,112,112,233665123
1269,0.1467484547,fixed 112x112 (233665123).bmp,merge,,,asm1,94985,0,,94985,54534.5,fixed,112,112,233665123
1270,0,random1 200x200 (1973387981).bmp,merge,,,asm1,307621,0,,307621,1092448.5,random1,200,200,1973387981
1271,0.1467484547,random1 200x200 (1973387981).bmp,merge,,,asm1,1512640.6,0,,1512640.6,7293335907175.3,random1,200,200,1973387981
1272,0,fixed 196x196 (149798315).bmp,merge,,,asm1,294688.2,0,,294688.2,47309.6999969482,fixed,196,196,149798315
1273,0.1467484547,fixed 196x196 (149798315).bmp,merge,,,asm1,295089.4,0,,295089.4,271875.800003052,fixed,196,196,149798315
1274,0,fixed 344x344 (709393584).bmp,merge,,,asm1,918104,0,,918104,33424900,fixed,344,344,709393584
1275,0.1467484547,fixed 344x344 (709393584).bmp,merge,,,asm1,915236,0,,915236,608003151.5,fixed,344,344,709393584
1276,0,random1 200x200 (1827336327).bmp,merge,,,asm1,318202.8,0,,318202.8,572032676.699997,random1,200,200,1827336327
1277,0.1467484547,random1 200x200 (1827336327).bmp,merge,,,asm1,319784.2,0,,319784.2,306457837.199997,random1,200,200,1827336327
1278,0,random1 200x200 (1656478042).bmp,merge,,,asm1,315756.2,0,,315756.2,334718494.699997,random1,200,200,1656478042
1279,0.1467484547,random1 200x200 (1656478042).bmp,merge,,,asm1,306007.4,0,,306007.4,29594243.8000031,random1,200,200,1656478042
1280,0,fixed 332x332 (945117276).bmp,merge,,,asm1,1099888.8,0,,1099888.8,294497143377.7,fixed,332,332,945117276
1281,0.1467484547,fixed 332x332 (945117276).bmp,merge,,,asm1,842613.2,0,,842613.2,347857926.699951,fixed,332,332,945117276
1282,0,fixed 396x396 (1469348094).bmp,merge,,,asm1,2646297.8,0,,2646297.8,8277564326433.2,fixed,396,396,1469348094
1283,0.1467484547,fixed 396x396 (1469348094).bmp,merge,,,asm1,1225257,0,,1225257,112928197.5,fixed,396,396,1469348094
1284,0,random2 200x200 (392228696).bmp,merge,,,asm1,307199,0,,307199,402273.5,random2,200,200,392228696
1285,0.1467484547,random2 200x200 (392228696).bmp,merge,,,asm1,305747.4,0,,305747.4,18274444.3000031,random2,200,200,392228696
1286,0,fixed 40x40 (1189641421).bmp,merge,,,asm1,12686.8,0,,12686.8,21155.6999999881,fixed,40,40,1189641421
1287,0.1467484547,fixed 40x40 (1189641421).bmp,merge,,,asm1,12809.4,0,,12809.4,16531.3000000119,fixed,40,40,1189641421
1288,0,random1 200x200 (968338082).bmp,merge,,,asm1,734216.8,0,,734216.8,917677357197.7,random1,200,200,968338082
1289,0.1467484547,random1 200x200 (968338082).bmp,merge,,,asm1,337209.4,0,,337209.4,2993768729.29999,random1,200,200,968338082
1290,0,fixed 160x160 (1656478042).bmp,merge,,,asm1,197413,0,,197413,87216326,fixed,160,160,1656478042
1291,0.1467484547,fixed 160x160 (1656478042).bmp,merge,,,asm1,192728.8,0,,192728.8,11443968.1999969,fixed,160,160,1656478042
1292,0,random1 200x200 (588219756).bmp,merge,,,asm1,313474,0,,313474,391516684.5,random1,200,200,588219756
1293,0.1467484547,random1 200x200 (588219756).bmp,merge,,,asm1,660416.8,0,,660416.8,632313845707.7,random1,200,200,588219756
1294,0,random1 200x200 (680466996).bmp,merge,,,asm1,309512,0,,309512,15441564.5,random1,200,200,680466996
1295,0.1467484547,random1 200x200 (680466996).bmp,merge,,,asm1,1591494,0,,1591494,8310806818168,random1,200,200,680466996
1296,0,random1 200x200 (1572276965).bmp,merge,,,asm1,319590.6,0,,319590.6,645997290.300003,random1,200,200,1572276965
1297,0.1467484547,random1 200x200 (1572276965).bmp,merge,,,asm1,322923.2,0,,322923.2,464192580.699997,random1,200,200,1572276965
1298,0,fixed 360x360 (1474612399).bmp,merge,,,asm1,1053138.6,0,,1053138.6,9841467423.30005,fixed,360,360,1474612399
1299,0.1467484547,fixed 360x360 (1474612399).bmp,merge,,,asm1,1005960.4,0,,1005960.4,99107135.8000488,fixed,360,360,1474612399
1300,0,random1 200x200 (1918502651).bmp,merge,,,asm1,304755.6,0,,304755.6,18629440.3000031,random1,200,200,1918502651
1301,0.1467484547,random1 200x200 (1918502651).bmp,merge,,,asm1,309692,0,,309692,30102782,random1,200,200,1918502651
1302,0,random2 200x200 (223729824).bmp,merge,,,asm1,313112.2,0,,313112.2,378318885.199997,random2,200,200,223729824
1303,0.1467484547,random2 200x200 (223729824).bmp,merge,,,asm1,305982.8,0,,305982.8,16893512.1999969,random2,200,200,223729824
1304,0,fixed 336x336 (1889947178).bmp,merge,,,asm1,900286,0,,900286,692978861,fixed,336,336,1889947178
1305,0.1467484547,fixed 336x336 (1889947178).bmp,merge,,,asm1,882530.2,0,,882530.2,758909978.699951,fixed,336,336,1889947178
1306,0,random1 200x200 (1914544919).bmp,merge,,,asm1,314905,0,,314905,308152440,random1,200,200,1914544919
1307,0.1467484547,random1 200x200 (1914544919).bmp,merge,,,asm1,316096.4,0,,316096.4,355215750.800003,random1,200,200,1914544919
1308,0,random2 200x200 (827462710).bmp,merge,,,asm1,947020.8,0,,947020.8,2009664990468.2,random2,200,200,827462710
1309,0.1467484547,random2 200x200 (827462710).bmp,merge,,,asm1,307228.2,0,,307228.2,186250.699996948,random2,200,200,827462710
1310,0,random2 200x200 (314227535).bmp,merge,,,asm1,307381.4,0,,307381.4,538326.800003052,random2,200,200,314227535
1311,0.1467484547,random2 200x200 (314227535).bmp,merge,,,asm1,307216.8,0,,307216.8,135105.699996948,random2,200,200,314227535
1312,0,random2 200x200 (861264076).bmp,merge,,,asm1,329855,0,,329855,393366635,random2,200,200,861264076
1313,0.1467484547,random2 200x200 (861264076).bmp,merge,,,asm1,357574.6,0,,357574.6,12549794807.8,random2,200,200,861264076
1314,0,fixed 384x384 (1984210012).bmp,merge,,,asm1,1203091.4,0,,1203091.4,16583421208.3001,fixed,384,384,1984210012
1315,0.1467484547,fixed 384x384 (1984210012).bmp,merge,,,asm1,1165208.4,0,,1165208.4,925680338.800049,fixed,384,384,1984210012
1316,0,fixed 252x252 (1937477084).bmp,merge,,,asm1,512811,0,,512811,1662691929.5,fixed,252,252,1937477084
1317,0.1467484547,fixed 252x252 (1937477084).bmp,merge,,,asm1,494753.6,0,,494753.6,92540948.2999878,fixed,252,252,1937477084
1318,0,random2 200x200 (1624213497).bmp,merge,,,asm1,309604.6,0,,309604.6,22603535.3000031,random2,200,200,1624213497
1319,0.1467484547,random2 200x200 (1624213497).bmp,merge,,,asm1,307267.6,0,,307267.6,44439465.8000031,random2,200,200,1624213497
1320,0,random1 200x200 (660260756).bmp,merge,,,asm1,315132.4,0,,315132.4,286038407.300003,random1,200,200,660260756
1321,0.1467484547,random1 200x200 (660260756).bmp,merge,,,asm1,307125.4,0,,307125.4,42782.3000030518,random1,200,200,660260756
1322,0,fixed 212x212 (412776091).bmp,merge,,,asm1,352830.6,0,,352830.6,253736933.799988,fixed,212,212,412776091
1323,0.1467484547,fixed 212x212 (412776091).bmp,merge,,,asm1,344964.6,0,,344964.6,337514.299987793,fixed,212,212,412776091
1324,0,random2 200x200 (826030693).bmp,merge,,,asm1,311161.4,0,,311161.4,68178474.3000031,random2,200,200,826030693
1325,0.1467484547,random2 200x200 (826030693).bmp,merge,,,asm1,1206687.8,0,,1206687.8,4038663393611.2,random2,200,200,826030693
1326,0,random2 200x200 (37805787).bmp,merge,,,asm1,310605.8,0,,310605.8,32157893.1999969,random2,200,200,37805787
1327,0.1467484547,random2 200x200 (37805787).bmp,merge,,,asm1,310674.2,0,,310674.2,64664333.699997,random2,200,200,37805787
1328,0,random2 200x200 (1278717062).bmp,merge,,,asm1,309488,0,,309488,28770488,random2,200,200,1278717062
1329,0.1467484547,random2 200x200 (1278717062).bmp,merge,,,asm1,350697.2,0,,350697.2,9716290309.70001,random2,200,200,1278717062
1330,0,random2 200x200 (1804532640).bmp,merge,,,asm1,310625.4,0,,310625.4,58478110.3000031,random2,200,200,1804532640
1331,0.1467484547,random2 200x200 (1804532640).bmp,merge,,,asm1,311545.6,0,,311545.6,80361592.300003,random2,200,200,1804532640
1332,0,random1 200x200 (719346228).bmp,merge,,,asm1,311579.6,0,,311579.6,68324979.8000031,random1,200,200,719346228
