,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
0,,"0    568766
1    568809
2    570320
3    572313
4    568724
dtype: float64",random2 200x200 (1309478823).bmp,blur,,,asm2,569786.4,3,,569786.4,2448414.299987793,random2,200,200,1309478823
1,,"0    569334
1    570524
2    569251
3    586255
4    571031
dtype: float64",random1 200x200 (776532036).bmp,blur,,,asm2,573279.0,3,,573279.0,53201978.5,random1,200,200,776532036
2,,"0    2201958
1    1734389
2    1505280
3    1470382
4    1484916
dtype: float64",fixed 320x320 (760313750).bmp,blur,,,asm2,1679385.0,3,,1679385.0,96980244335.0,fixed,320,320,760313750
3,,"0    505797
1    506737
2    504600
3    504435
4    503782
dtype: float64",fixed 188x188 (1734575198).bmp,blur,,,asm2,505070.2,3,,505070.2,1397621.700012207,fixed,188,188,1734575198
4,,"0    583281
1    569435
2    592918
3    574896
4    603319
dtype: float64",random2 200x200 (1076377804).bmp,blur,,,asm2,584769.8,3,,584769.8,186332631.7000122,random2,200,200,1076377804
5,,"0    573138
1    571321
2    658087
3    572429
4    569417
dtype: float64",random1 200x200 (195740084).bmp,blur,,,asm2,588878.4,3,,588878.4,1498795412.7999878,random1,200,200,195740084
6,,"0    581978
1    571831
2    567991
3    570085
4    571349
dtype: float64",random2 200x200 (2067038044).bmp,blur,,,asm2,572646.8,3,,572646.8,29415100.200012207,random2,200,200,2067038044
7,,"0    572356
1    568675
2    592496
3    602485
4    825987
dtype: float64",random1 200x200 (1823089412).bmp,blur,,,asm2,632399.8,3,,632399.8,11907330142.700012,random1,200,200,1823089412
8,,"0    573782
1    573971
2    569988
3    569304
4    576358
dtype: float64",random1 200x200 (927612902).bmp,blur,,,asm2,572680.6,3,,572680.6,8763251.799987793,random1,200,200,927612902
9,,"0    700274
1    571144
2    582170
3    569154
4    569591
dtype: float64",random1 200x200 (168002245).bmp,blur,,,asm2,598466.6,3,,598466.6,3267469782.799988,random1,200,200,168002245
10,,"0    571016
1    569676
2    571874
3    602104
4    570021
dtype: float64",random1 200x200 (1125898167).bmp,blur,,,asm2,576938.2,3,,576938.2,198655817.2000122,random1,200,200,1125898167
11,,"0    114040
1    114553
2    112105
3    111384
4    111855
dtype: float64",fixed 88x88 (521595368).bmp,blur,,,asm2,112787.4,3,,112787.4,1997730.299999237,fixed,88,88,521595368
12,,"0    58928
1    57875
2    59139
3    59029
4    58632
dtype: float64",fixed 64x64 (1967513926).bmp,blur,,,asm2,58720.6,3,,58720.6,259018.30000019073,fixed,64,64,1967513926
13,,"0    570088
1    572246
2    570076
3    569572
4    573654
dtype: float64",random2 200x200 (191536171).bmp,blur,,,asm2,571127.2,3,,571127.2,3060009.200012207,random2,200,200,191536171
14,,"0     571792
1     633863
2    3182033
3     571697
4     570528
dtype: float64",random2 200x200 (663711792).bmp,blur,,,asm2,1105982.6,3,,1105982.6,1347603627050.3,random2,200,200,663711792
15,,"0    575803
1    612055
2    569612
3    570897
4    576676
dtype: float64",random1 200x200 (711845894).bmp,blur,,,asm2,581008.6,3,,581008.6,310468898.2999878,random1,200,200,711845894
16,,"0    2853280
1     569444
2    1302656
3     571334
4     569853
dtype: float64",random2 200x200 (818034604).bmp,blur,,,asm2,1173313.4,3,,1173313.4,982554797484.8,random2,200,200,818034604
17,,"0    576294
1    571902
2    570323
3    571040
4    568684
dtype: float64",random1 200x200 (1633108117).bmp,blur,,,asm2,571648.6,3,,571648.6,8140103.799987793,random1,200,200,1633108117
18,,"0    572842
1    572564
2    600153
3    574316
4    571328
dtype: float64",random2 200x200 (1144991476).bmp,blur,,,asm2,578240.6,3,,578240.6,151177116.7999878,random2,200,200,1144991476
19,,"0    576209
1    572442
2    586695
3    819552
4    572338
dtype: float64",random1 200x200 (1956297539).bmp,blur,,,asm2,625447.2,3,,625447.2,11808236269.700012,random1,200,200,1956297539
20,,"0    121095
1    124090
2    121003
3    121104
4    121397
dtype: float64",fixed 92x92 (294702567).bmp,blur,,,asm2,121737.8,3,,121737.8,1750953.700000763,fixed,92,92,294702567
21,,"0    93591
1    93142
2    92574
3    92815
4    92602
dtype: float64",fixed 80x80 (1303455736).bmp,blur,,,asm2,92944.8,3,,92944.8,182078.70000076294,fixed,80,80,1303455736
22,,"0    578145
1    608243
2    580601
3    570033
4    571972
dtype: float64",random1 200x200 (1975960378).bmp,blur,,,asm2,581798.8,3,,581798.8,237270185.2000122,random1,200,200,1975960378
23,,"0    568452
1    570741
2    590822
3    593444
4    623899
dtype: float64",random2 200x200 (335467078).bmp,blur,,,asm2,589471.6,3,,589471.6,498877093.2999878,random2,200,200,335467078
24,,"0    572002
1    573028
2    633079
3    603685
4    568882
dtype: float64",random2 200x200 (813833609).bmp,blur,,,asm2,590135.2,3,,590135.2,775233695.7000122,random2,200,200,813833609
25,,"0    204691
1    206825
2    205073
3    207036
4    207887
dtype: float64",fixed 120x120 (468703135).bmp,blur,,,asm2,206302.4,3,,206302.4,1857567.8000030518,fixed,120,120,468703135
