,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
0,,"0    568791
1    594375
2    574768
3    580698
4    572335
dtype: float64",random2 200x200 (1309478823).bmp,blur,,,asm2,578193.4,3,,578193.4,100644135.2999878,random2,200,200,1309478823
1,,"0    574463
1    574460
2    597406
3    636761
4    568312
dtype: float64",random1 200x200 (776532036).bmp,blur,,,asm2,590280.4,3,,590280.4,798576537.2999878,random1,200,200,776532036
2,,"0    1451007
1    1458642
2    1454780
3    1447988
4    1455113
dtype: float64",fixed 320x320 (760313750).bmp,blur,,,asm2,1453506.0,3,,1453506.0,16819336.5,fixed,320,320,760313750
3,,"0    504871
1    508440
2    504640
3    506053
4    502576
dtype: float64",fixed 188x188 (1734575198).bmp,blur,,,asm2,505316.0,3,,505316.0,4616286.5,fixed,188,188,1734575198
4,,"0    575088
1    568687
2    580623
3    572631
4    552196
dtype: float64",random2 200x200 (1076377804).bmp,blur,,,asm2,569845.0,3,,569845.0,116061073.5,random2,200,200,1076377804
5,,"0    571166
1    574411
2    575259
3    570692
4    571016
dtype: float64",random1 200x200 (195740084).bmp,blur,,,asm2,572508.8,3,,572508.8,4628572.700012207,random1,200,200,195740084
6,,"0    572212
1    569502
2    598688
3    571623
4    576495
dtype: float64",random2 200x200 (2067038044).bmp,blur,,,asm2,577704.0,3,,577704.0,144050841.5,random2,200,200,2067038044
7,,"0    578217
1    616311
2    577723
3    571358
4    685258
dtype: float64",random1 200x200 (1823089412).bmp,blur,,,asm2,605773.4,3,,605773.4,2289860632.299988,random1,200,200,1823089412
8,,"0    569639
1    570409
2    574179
3    570406
4    570906
dtype: float64",random1 200x200 (927612902).bmp,blur,,,asm2,571107.8,3,,571107.8,3152802.700012207,random1,200,200,927612902
9,,"0    572829
1    569419
2    573479
3    573077
4    570970
dtype: float64",random1 200x200 (168002245).bmp,blur,,,asm2,571954.8,3,,571954.8,2936714.200012207,random1,200,200,168002245
10,,"0    580547
1    568904
2    575681
3    570091
4    570295
dtype: float64",random1 200x200 (1125898167).bmp,blur,,,asm2,573103.6,3,,573103.6,24161956.799987793,random1,200,200,1125898167
11,,"0    111977
1    112215
2    112184
3    114654
4    111439
dtype: float64",fixed 88x88 (521595368).bmp,blur,,,asm2,112493.8,3,,112493.8,1554963.700000763,fixed,88,88,521595368
12,,"0    58476
1    58846
2    58964
3    58742
4    58843
dtype: float64",fixed 64x64 (1967513926).bmp,blur,,,asm2,58774.2,3,,58774.2,33968.199999809265,fixed,64,64,1967513926
13,,"0    572585
1    570808
2    569505
3    570342
4    571977
dtype: float64",random2 200x200 (191536171).bmp,blur,,,asm2,571043.4,3,,571043.4,1540547.299987793,random2,200,200,191536171
14,,"0      576190
1    14156622
2      572570
3      572820
4      584649
dtype: float64",random2 200x200 (663711792).bmp,blur,,,asm2,3292570.2,3,,3292570.2,36883655591961.2,random2,200,200,663711792
15,,"0    570601
1    581484
2    568672
3    573883
4    554280
dtype: float64",random1 200x200 (711845894).bmp,blur,,,asm2,569784.0,3,,569784.0,98992462.5,random1,200,200,711845894
16,,"0      572219
1    10256125
2      572252
3      570577
4      572460
dtype: float64",random2 200x200 (818034604).bmp,blur,,,asm2,2508726.6,3,,2508726.6,18756932436970.3,random2,200,200,818034604
17,,"0    569138
1    570259
2    577353
3    571877
4    571639
dtype: float64",random1 200x200 (1633108117).bmp,blur,,,asm2,572053.2,3,,572053.2,10002008.200012207,random1,200,200,1633108117
18,,"0    572396
1    571049
2    588871
3    568553
4    581954
dtype: float64",random2 200x200 (1144991476).bmp,blur,,,asm2,576564.6,3,,576564.6,73119479.2999878,random2,200,200,1144991476
19,,"0    571184
1    584014
2    569878
3    568153
4    611815
dtype: float64",random1 200x200 (1956297539).bmp,blur,,,asm2,581008.8,3,,581008.8,335936545.7000122,random1,200,200,1956297539
20,,"0    120881
1    122206
2    122432
3    121275
4    121617
dtype: float64",fixed 92x92 (294702567).bmp,blur,,,asm2,121682.2,3,,121682.2,412137.70000076294,fixed,92,92,294702567
21,,"0    96317
1    91930
2    92574
3    92144
4    92415
dtype: float64",fixed 80x80 (1303455736).bmp,blur,,,asm2,93076.0,3,,93076.0,3343736.5,fixed,80,80,1303455736
22,,"0    612280
1    573208
2    573071
3    572365
4    574984
dtype: float64",random1 200x200 (1975960378).bmp,blur,,,asm2,581181.6,3,,581181.6,303153323.2999878,random1,200,200,1975960378
23,,"0    570534
1    573373
2    588480
3    571672
4    617459
dtype: float64",random2 200x200 (335467078).bmp,blur,,,asm2,584303.6,3,,584303.6,396340021.2999878,random2,200,200,335467078
24,,"0    570259
1    569859
2    578648
3    572832
4    570024
dtype: float64",random2 200x200 (813833609).bmp,blur,,,asm2,572324.4,3,,572324.4,13970372.299987793,random2,200,200,813833609
25,,"0    206859
1    207576
2    207820
3    208971
4    205372
dtype: float64",fixed 120x120 (468703135).bmp,blur,,,asm2,207319.6,3,,207319.6,1762140.3000030518,fixed,120,120,468703135
26,,"0     570287
1    4014693
2     570262
3     570406
4     572493
dtype: float64",random1 200x200 (1520223205).bmp,blur,,,asm2,1259628.2,3,,1259628.2,2371995280992.7,random1,200,200,1520223205
27,,"0    570024
1    568791
2    618610
3    573492
4    571587
dtype: float64",random1 200x200 (269441500).bmp,blur,,,asm2,580500.8,3,,580500.8,456943246.7000122,random1,200,200,269441500
28,,"0    1783564
1    1425270
2    1567844
3    1421354
4    1459538
dtype: float64",fixed 316x316 (1374344043).bmp,blur,,,asm2,1531514.0,3,,1531514.0,23363157278.0,fixed,316,316,1374344043
29,,"0    1707832
1    1816133
2    7759274
3    1760043
4    1758618
dtype: float64",fixed 352x352 (1918502651).bmp,blur,,,asm2,2960380.0,3,,2960380.0,7198150532690.5,fixed,352,352,1918502651
30,,"0    242440
1    250633
2    251146
3    271071
4    250319
dtype: float64",fixed 132x132 (1315634022).bmp,blur,,,asm2,253121.8,3,,253121.8,113557057.69999695,fixed,132,132,1315634022
31,,"0     594485
1     569698
2    1083355
3     577341
4     569328
dtype: float64",random1 200x200 (1889947178).bmp,blur,,,asm2,678841.4,3,,678841.4,51238763137.30005,random1,200,200,1889947178
32,,"0     568681
1     570921
2     573852
3    2126970
4     582292
dtype: float64",random2 200x200 (2081421295).bmp,blur,,,asm2,884543.2,3,,884543.2,482409244184.69995,random2,200,200,2081421295
33,,"0      578080
1      570967
2    13684056
3      571300
4      572256
dtype: float64",random1 200x200 (1631518149).bmp,blur,,,asm2,3195331.8,3,,3195331.8,34379175617926.2,random1,200,200,1631518149
34,,"0    146865
1    147512
2    147097
3    148114
4    147921
dtype: float64",fixed 100x100 (336465782).bmp,blur,,,asm2,147501.8,3,,147501.8,279999.70000076294,fixed,100,100,336465782
35,,"0    570015
1    774678
2    571031
3    571898
4    568180
dtype: float64",random2 200x200 (1665194694).bmp,blur,,,asm2,611160.4,3,,611160.4,8357542258.299988,random2,200,200,1665194694
