,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
65,,571569,random2 200x200 (766480852).bmp,blur,,,asm2,3,,random2,200,200
66,,574518,random1 200x200 (1264095060).bmp,blur,,,asm2,3,,random1,200,200
67,,1061641,fixed 264x264 (1159126505).bmp,blur,,,asm2,3,,fixed,264,264
68,,581667,random1 200x200 (155324914).bmp,blur,,,asm2,3,,random1,200,200
69,,672977,random2 200x200 (901471110).bmp,blur,,,asm2,3,,random2,200,200
70,,341461,fixed 148x148 (1059961393).bmp,blur,,,asm2,3,,fixed,148,148
71,,568815,random2 200x200 (954978700).bmp,blur,,,asm2,3,,random2,200,200
72,,169479,fixed 108x108 (278722862).bmp,blur,,,asm2,3,,fixed,108,108
73,,571978,random1 200x200 (1350490027).bmp,blur,,,asm2,3,,random1,200,200
74,,572499,random1 200x200 (84353895).bmp,blur,,,asm2,3,,random1,200,200
75,,580177,random1 200x200 (407487131).bmp,blur,,,asm2,3,,random1,200,200
76,,1182315,fixed 284x284 (1141616124).bmp,blur,,,asm2,3,,fixed,284,284
77,,398735,fixed 164x164 (1131176229).bmp,blur,,,asm2,3,,fixed,164,164
78,,1532513,fixed 328x328 (356426808).bmp,blur,,,asm2,3,,fixed,328,328
79,,28289,fixed 44x44 (1025202362).bmp,blur,,,asm2,3,,fixed,44,44
80,,576401,random2 200x200 (250037052).bmp,blur,,,asm2,3,,random2,200,200
81,,729400,random2 200x200 (1113699290).bmp,blur,,,asm2,3,,random2,200,200
82,,570094,random1 200x200 (87755422).bmp,blur,,,asm2,3,,random1,200,200
83,,585577,random1 200x200 (1760281936).bmp,blur,,,asm2,3,,random1,200,200
84,,569902,random1 200x200 (552473416).bmp,blur,,,asm2,3,,random1,200,200
85,,575586,random1 200x200 (1389867269).bmp,blur,,,asm2,3,,random1,200,200
86,,583535,random1 200x200 (1714636915).bmp,blur,,,asm2,3,,random1,200,200
87,,1140186,fixed 272x272 (1632621729).bmp,blur,,,asm2,3,,fixed,272,272
88,,570778,random1 200x200 (1548348142).bmp,blur,,,asm2,3,,random1,200,200
89,,570592,random1 200x200 (1573363368).bmp,blur,,,asm2,3,,random1,200,200
90,,701055,fixed 220x220 (1911759956).bmp,blur,,,asm2,3,,fixed,220,220
91,,571895,random1 200x200 (654887343).bmp,blur,,,asm2,3,,random1,200,200
92,,582106,random2 200x200 (1250718455).bmp,blur,,,asm2,3,,random2,200,200
93,,575226,random2 200x200 (98768428).bmp,blur,,,asm2,3,,random2,200,200
94,,596264,random2 200x200 (960449276).bmp,blur,,,asm2,3,,random2,200,200
95,,574151,random2 200x200 (232899880).bmp,blur,,,asm2,3,,random2,200,200
96,,569563,random1 200x200 (1605894428).bmp,blur,,,asm2,3,,random1,200,200
97,,6508,fixed 16x16 (1714636915).bmp,blur,,,asm2,3,,fixed,16,16
98,,572863,random2 200x200 (602713750).bmp,blur,,,asm2,3,,random2,200,200
99,,570845,random2 200x200 (1790746779).bmp,blur,,,asm2,3,,random2,200,200
100,,572402,random2 200x200 (1585298692).bmp,blur,,,asm2,3,,random2,200,200
101,,571416,random1 200x200 (1176911340).bmp,blur,,,asm2,3,,random1,200,200
102,,572543,random2 200x200 (1556677371).bmp,blur,,,asm2,3,,random2,200,200
103,,589323,random2 200x200 (88885284).bmp,blur,,,asm2,3,,random2,200,200
104,,583709,random2 200x200 (1427056614).bmp,blur,,,asm2,3,,random2,200,200
105,,408817,fixed 168x168 (1653377373).bmp,blur,,,asm2,3,,fixed,168,168
106,,29512015,random2 200x200 (1258505823).bmp,blur,,,asm2,3,,random2,200,200
107,,584628,random1 200x200 (1760243555).bmp,blur,,,asm2,3,,random1,200,200
108,,694870,random2 200x200 (13999837).bmp,blur,,,asm2,3,,random2,200,200
109,,574808,random1 200x200 (950390868).bmp,blur,,,asm2,3,,random1,200,200
110,,45994,fixed 56x56 (1102520059).bmp,blur,,,asm2,3,,fixed,56,56
111,,227158,fixed 128x128 (1801979802).bmp,blur,,,asm2,3,,fixed,128,128
112,,569975,random1 200x200 (2112255763).bmp,blur,,,asm2,3,,random1,200,200
113,,815923,fixed 236x236 (982906996).bmp,blur,,,asm2,3,,fixed,236,236
114,,568827,random2 200x200 (279861221).bmp,blur,,,asm2,3,,random2,200,200
115,,599534,random2 200x200 (211996288).bmp,blur,,,asm2,3,,random2,200,200
116,,15645,fixed 32x32 (1649760492).bmp,blur,,,asm2,3,,fixed,32,32
117,,587946,random1 200x200 (498777856).bmp,blur,,,asm2,3,,random1,200,200
118,,14341,fixed 28x28 (719885386).bmp,blur,,,asm2,3,,fixed,28,28
119,,579771,random1 200x200 (760313750).bmp,blur,,,asm2,3,,random1,200,200
120,,577180,random1 200x200 (184803526).bmp,blur,,,asm2,3,,random1,200,200
121,,574673,random2 200x200 (369554448).bmp,blur,,,asm2,3,,random2,200,200
122,,579396,random2 200x200 (204557828).bmp,blur,,,asm2,3,,random2,200,200
123,,573217,random2 200x200 (468736315).bmp,blur,,,asm2,3,,random2,200,200
124,,573012,random1 200x200 (1876855542).bmp,blur,,,asm2,3,,random1,200,200
125,,25090,fixed 36x36 (596516649).bmp,blur,,,asm2,3,,fixed,36,36
126,,39788,fixed 52x52 (783368690).bmp,blur,,,asm2,3,,fixed,52,52
127,,592793,random2 200x200 (2124251098).bmp,blur,,,asm2,3,,random2,200,200
128,,575045,random2 200x200 (1904101559).bmp,blur,,,asm2,3,,random2,200,200
129,,569814,random1 200x200 (1784639529).bmp,blur,,,asm2,3,,random1,200,200
130,,579859,random2 200x200 (1940591161).bmp,blur,,,asm2,3,,random2,200,200
131,,568885,random1 200x200 (1411154259).bmp,blur,,,asm2,3,,random1,200,200
132,,569716,random2 200x200 (1054231799).bmp,blur,,,asm2,3,,random2,200,200
133,,591377,random2 200x200 (696556207).bmp,blur,,,asm2,3,,random2,200,200
134,,3884910,fixed 400x400 (1956297539).bmp,blur,,,asm2,3,,fixed,400,400
135,,586377,random2 200x200 (923192533).bmp,blur,,,asm2,3,,random2,200,200
136,,1907007,fixed 356x356 (752392754).bmp,blur,,,asm2,3,,fixed,356,356
137,,583739,random1 200x200 (1967681095).bmp,blur,,,asm2,3,,random1,200,200
138,,598032,random1 200x200 (1884167637).bmp,blur,,,asm2,3,,random1,200,200
139,,736447,random1 200x200 (1626276121).bmp,blur,,,asm2,3,,random1,200,200
140,,352491,fixed 156x156 (628175011).bmp,blur,,,asm2,3,,fixed,156,156
141,,578001,random2 200x200 (880121610).bmp,blur,,,asm2,3,,random2,200,200
142,,1181686,fixed 288x288 (84353895).bmp,blur,,,asm2,3,,fixed,288,288
143,,4731,fixed 12x12 (1681692777).bmp,blur,,,asm2,3,,fixed,12,12
144,,587646,random2 200x200 (663282821).bmp,blur,,,asm2,3,,random2,200,200
145,,1493869,fixed 312x312 (1585990364).bmp,blur,,,asm2,3,,fixed,312,312
146,,751243,fixed 228x228 (137806862).bmp,blur,,,asm2,3,,fixed,228,228
