,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
1218,0.0,307711,random1 200x200 (1984210012).bmp,merge,,,asm1,3,,random1,200,200
1219,0.14674845465465455,460349,random1 200x200 (1984210012).bmp,merge,,,asm1,3,,random1,200,200
1220,0.0,306741,random2 200x200 (1960721183).bmp,merge,,,asm1,3,,random2,200,200
1221,0.14674845465465455,6748449,random2 200x200 (1960721183).bmp,merge,,,asm1,3,,random2,200,200
1222,0.0,313746,random1 200x200 (1371499336).bmp,merge,,,asm1,3,,random1,200,200
1223,0.14674845465465455,332587,random1 200x200 (1371499336).bmp,merge,,,asm1,3,,random1,200,200
1224,0.0,84480,fixed 104x104 (861021530).bmp,merge,,,asm1,3,,fixed,104,104
1225,0.14674845465465455,82995,fixed 104x104 (861021530).bmp,merge,,,asm1,3,,fixed,104,104
1226,0.0,17669,fixed 48x48 (1350490027).bmp,merge,,,asm1,3,,fixed,48,48
1227,0.14674845465465455,20169,fixed 48x48 (1350490027).bmp,merge,,,asm1,3,,fixed,48,48
1228,0.0,313966,random1 200x200 (1303455736).bmp,merge,,,asm1,3,,random1,200,200
1229,0.14674845465465455,307687,random1 200x200 (1303455736).bmp,merge,,,asm1,3,,random1,200,200
1230,0.0,306759,random2 200x200 (438714404).bmp,merge,,,asm1,3,,random2,200,200
1231,0.14674845465465455,309458,random2 200x200 (438714404).bmp,merge,,,asm1,3,,random2,200,200
1232,0.0,317074,random2 200x200 (1337225634).bmp,merge,,,asm1,3,,random2,200,200
1233,0.14674845465465455,378481,random2 200x200 (1337225634).bmp,merge,,,asm1,3,,random2,200,200
1234,0.0,423296,fixed 232x232 (42999170).bmp,merge,,,asm1,3,,fixed,232,232
1235,0.14674845465465455,423049,fixed 232x232 (42999170).bmp,merge,,,asm1,3,,fixed,232,232
1236,0.0,307562,random1 200x200 (233665123).bmp,merge,,,asm1,3,,random1,200,200
1237,0.14674845465465455,360763,random1 200x200 (233665123).bmp,merge,,,asm1,3,,random1,200,200
1238,0.0,308685,random1 200x200 (502278611).bmp,merge,,,asm1,3,,random1,200,200
1239,0.14674845465465455,3431222,random1 200x200 (502278611).bmp,merge,,,asm1,3,,random1,200,200
1240,0.0,721685,fixed 304x304 (1548233367).bmp,merge,,,asm1,3,,fixed,304,304
1241,0.14674845465465455,734619,fixed 304x304 (1548233367).bmp,merge,,,asm1,3,,fixed,304,304
1242,0.0,161518,fixed 144x144 (1125898167).bmp,merge,,,asm1,3,,fixed,144,144
1243,0.14674845465465455,157662,fixed 144x144 (1125898167).bmp,merge,,,asm1,3,,fixed,144,144
1244,0.0,317757,random2 200x200 (582362178).bmp,merge,,,asm1,3,,random2,200,200
1245,0.14674845465465455,306826,random2 200x200 (582362178).bmp,merge,,,asm1,3,,random2,200,200
1246,0.0,727052,fixed 300x300 (1998898814).bmp,merge,,,asm1,3,,fixed,300,300
1247,0.14674845465465455,722762,fixed 300x300 (1998898814).bmp,merge,,,asm1,3,,fixed,300,300
1248,0.0,332734,random2 200x200 (105197541).bmp,merge,,,asm1,3,,random2,200,200
1249,0.14674845465465455,307956,random2 200x200 (105197541).bmp,merge,,,asm1,3,,random2,200,200
1250,0.0,317434,random2 200x200 (2116845032).bmp,merge,,,asm1,3,,random2,200,200
1251,0.14674845465465455,306056,random2 200x200 (2116845032).bmp,merge,,,asm1,3,,random2,200,200
1252,0.0,711028,fixed 292x292 (939819582).bmp,merge,,,asm1,3,,fixed,292,292
1253,0.14674845465465455,653541,fixed 292x292 (939819582).bmp,merge,,,asm1,3,,fixed,292,292
1254,0.0,980,fixed 4x4 (1804289383).bmp,merge,,,asm1,3,,fixed,4,4
1255,0.14674845465465455,788,fixed 4x4 (1804289383).bmp,merge,,,asm1,3,,fixed,4,4
1256,0.0,308105,random1 200x200 (1947346619).bmp,merge,,,asm1,3,,random1,200,200
1257,0.14674845465465455,326244,random1 200x200 (1947346619).bmp,merge,,,asm1,3,,random1,200,200
1258,0.0,311899,random1 200x200 (1057467587).bmp,merge,,,asm1,3,,random1,200,200
1259,0.14674845465465455,299042,random1 200x200 (1057467587).bmp,merge,,,asm1,3,,random1,200,200
1260,0.0,283794,fixed 192x192 (1973594324).bmp,merge,,,asm1,3,,fixed,192,192
1261,0.14674845465465455,285537,fixed 192x192 (1973594324).bmp,merge,,,asm1,3,,fixed,192,192
1262,0.0,1114818,fixed 376x376 (1843993368).bmp,merge,,,asm1,3,,fixed,376,376
1263,0.14674845465465455,1114745,fixed 376x376 (1843993368).bmp,merge,,,asm1,3,,fixed,376,376
1264,0.0,1081819,fixed 372x372 (1411549676).bmp,merge,,,asm1,3,,fixed,372,372
1265,0.14674845465465455,1101505,fixed 372x372 (1411549676).bmp,merge,,,asm1,3,,fixed,372,372
1266,0.0,313493,random1 200x200 (446340713).bmp,merge,,,asm1,3,,random1,200,200
1267,0.14674845465465455,317556,random1 200x200 (446340713).bmp,merge,,,asm1,3,,random1,200,200
1268,0.0,95871,fixed 112x112 (233665123).bmp,merge,,,asm1,3,,fixed,112,112
1269,0.14674845465465455,94787,fixed 112x112 (233665123).bmp,merge,,,asm1,3,,fixed,112,112
1270,0.0,310730,random1 200x200 (1973387981).bmp,merge,,,asm1,3,,random1,200,200
1271,0.14674845465465455,316909,random1 200x200 (1973387981).bmp,merge,,,asm1,3,,random1,200,200
1272,0.0,294631,fixed 196x196 (149798315).bmp,merge,,,asm1,3,,fixed,196,196
1273,0.14674845465465455,312223,fixed 196x196 (149798315).bmp,merge,,,asm1,3,,fixed,196,196
1274,0.0,958871,fixed 344x344 (709393584).bmp,merge,,,asm1,3,,fixed,344,344
1275,0.14674845465465455,939139,fixed 344x344 (709393584).bmp,merge,,,asm1,3,,fixed,344,344
1276,0.0,307769,random1 200x200 (1827336327).bmp,merge,,,asm1,3,,random1,200,200
1277,0.14674845465465455,307742,random1 200x200 (1827336327).bmp,merge,,,asm1,3,,random1,200,200
1278,0.0,357130,random1 200x200 (1656478042).bmp,merge,,,asm1,3,,random1,200,200
1279,0.14674845465465455,333506,random1 200x200 (1656478042).bmp,merge,,,asm1,3,,random1,200,200
1280,0.0,876340,fixed 332x332 (945117276).bmp,merge,,,asm1,3,,fixed,332,332
1281,0.14674845465465455,912587,fixed 332x332 (945117276).bmp,merge,,,asm1,3,,fixed,332,332
1282,0.0,2970888,fixed 396x396 (1469348094).bmp,merge,,,asm1,3,,fixed,396,396
1283,0.14674845465465455,1278836,fixed 396x396 (1469348094).bmp,merge,,,asm1,3,,fixed,396,396
1284,0.0,314534,random2 200x200 (392228696).bmp,merge,,,asm1,3,,random2,200,200
1285,0.14674845465465455,307403,random2 200x200 (392228696).bmp,merge,,,asm1,3,,random2,200,200
1286,0.0,12464,fixed 40x40 (1189641421).bmp,merge,,,asm1,3,,fixed,40,40
1287,0.14674845465465455,14695,fixed 40x40 (1189641421).bmp,merge,,,asm1,3,,fixed,40,40
1288,0.0,348507,random1 200x200 (968338082).bmp,merge,,,asm1,3,,random1,200,200
1289,0.14674845465465455,312770,random1 200x200 (968338082).bmp,merge,,,asm1,3,,random1,200,200
1290,0.0,196095,fixed 160x160 (1656478042).bmp,merge,,,asm1,3,,fixed,160,160
1291,0.14674845465465455,210169,fixed 160x160 (1656478042).bmp,merge,,,asm1,3,,fixed,160,160
1292,0.0,316662,random1 200x200 (588219756).bmp,merge,,,asm1,3,,random1,200,200
1293,0.14674845465465455,323136,random1 200x200 (588219756).bmp,merge,,,asm1,3,,random1,200,200
1294,0.0,312153,random1 200x200 (680466996).bmp,merge,,,asm1,3,,random1,200,200
1295,0.14674845465465455,310926,random1 200x200 (680466996).bmp,merge,,,asm1,3,,random1,200,200
1296,0.0,306802,random1 200x200 (1572276965).bmp,merge,,,asm1,3,,random1,200,200
1297,0.14674845465465455,308258,random1 200x200 (1572276965).bmp,merge,,,asm1,3,,random1,200,200
1298,0.0,1014209,fixed 360x360 (1474612399).bmp,merge,,,asm1,3,,fixed,360,360
1299,0.14674845465465455,1037944,fixed 360x360 (1474612399).bmp,merge,,,asm1,3,,fixed,360,360
1300,0.0,563223,random1 200x200 (1918502651).bmp,merge,,,asm1,3,,random1,200,200
1301,0.14674845465465455,344964,random1 200x200 (1918502651).bmp,merge,,,asm1,3,,random1,200,200
1302,0.0,326403,random2 200x200 (223729824).bmp,merge,,,asm1,3,,random2,200,200
1303,0.14674845465465455,307363,random2 200x200 (223729824).bmp,merge,,,asm1,3,,random2,200,200
1304,0.0,886230,fixed 336x336 (1889947178).bmp,merge,,,asm1,3,,fixed,336,336
1305,0.14674845465465455,966258,fixed 336x336 (1889947178).bmp,merge,,,asm1,3,,fixed,336,336
1306,0.0,308691,random1 200x200 (1914544919).bmp,merge,,,asm1,3,,random1,200,200
1307,0.14674845465465455,307339,random1 200x200 (1914544919).bmp,merge,,,asm1,3,,random1,200,200
1308,0.0,931828,random2 200x200 (827462710).bmp,merge,,,asm1,3,,random2,200,200
1309,0.14674845465465455,307788,random2 200x200 (827462710).bmp,merge,,,asm1,3,,random2,200,200
1310,0.0,313148,random2 200x200 (314227535).bmp,merge,,,asm1,3,,random2,200,200
1311,0.14674845465465455,312947,random2 200x200 (314227535).bmp,merge,,,asm1,3,,random2,200,200
1312,0.0,318063,random2 200x200 (861264076).bmp,merge,,,asm1,3,,random2,200,200
1313,0.14674845465465455,314296,random2 200x200 (861264076).bmp,merge,,,asm1,3,,random2,200,200
1314,0.0,1340758,fixed 384x384 (1984210012).bmp,merge,,,asm1,3,,fixed,384,384
1315,0.14674845465465455,1150644,fixed 384x384 (1984210012).bmp,merge,,,asm1,3,,fixed,384,384
1316,0.0,490253,fixed 252x252 (1937477084).bmp,merge,,,asm1,3,,fixed,252,252
1317,0.14674845465465455,596543,fixed 252x252 (1937477084).bmp,merge,,,asm1,3,,fixed,252,252
1318,0.0,307852,random2 200x200 (1624213497).bmp,merge,,,asm1,3,,random2,200,200
1319,0.14674845465465455,324425,random2 200x200 (1624213497).bmp,merge,,,asm1,3,,random2,200,200
1320,0.0,313893,random1 200x200 (660260756).bmp,merge,,,asm1,3,,random1,200,200
1321,0.14674845465465455,331510,random1 200x200 (660260756).bmp,merge,,,asm1,3,,random1,200,200
1322,0.0,345161,fixed 212x212 (412776091).bmp,merge,,,asm1,3,,fixed,212,212
1323,0.14674845465465455,419563,fixed 212x212 (412776091).bmp,merge,,,asm1,3,,fixed,212,212
1324,0.0,13182671,random2 200x200 (826030693).bmp,merge,,,asm1,3,,random2,200,200
1325,0.14674845465465455,373346,random2 200x200 (826030693).bmp,merge,,,asm1,3,,random2,200,200
1326,0.0,307626,random2 200x200 (37805787).bmp,merge,,,asm1,3,,random2,200,200
1327,0.14674845465465455,307452,random2 200x200 (37805787).bmp,merge,,,asm1,3,,random2,200,200
1328,0.0,307232,random2 200x200 (1278717062).bmp,merge,,,asm1,3,,random2,200,200
1329,0.14674845465465455,306298,random2 200x200 (1278717062).bmp,merge,,,asm1,3,,random2,200,200
1330,0.0,307794,random2 200x200 (1804532640).bmp,merge,,,asm1,3,,random2,200,200
1331,0.14674845465465455,318632,random2 200x200 (1804532640).bmp,merge,,,asm1,3,,random2,200,200
1332,0.0,298031,random1 200x200 (719346228).bmp,merge,,,asm1,3,,random1,200,200
1333,0.14674845465465455,312400,random1 200x200 (719346228).bmp,merge,,,asm1,3,,random1,200,200
1334,0.0,306701,random1 200x200 (1369321801).bmp,merge,,,asm1,3,,random1,200,200
1335,0.14674845465465455,318664,random1 200x200 (1369321801).bmp,merge,,,asm1,3,,random1,200,200
1336,0.0,617327,fixed 276x276 (1100661313).bmp,merge,,,asm1,3,,fixed,276,276
1337,0.14674845465465455,585577,fixed 276x276 (1100661313).bmp,merge,,,asm1,3,,fixed,276,276
1338,0.0,306847,random1 200x200 (6939507).bmp,merge,,,asm1,3,,random1,200,200
1339,0.14674845465465455,308594,random1 200x200 (6939507).bmp,merge,,,asm1,3,,random1,200,200
1340,0.0,327715,random1 200x200 (774044599).bmp,merge,,,asm1,3,,random1,200,200
1341,0.14674845465465455,351938,random1 200x200 (774044599).bmp,merge,,,asm1,3,,random1,200,200
1342,0.0,307837,random1 200x200 (135497281).bmp,merge,,,asm1,3,,random1,200,200
1343,0.14674845465465455,308563,random1 200x200 (135497281).bmp,merge,,,asm1,3,,random1,200,200
1344,0.0,891728,fixed 340x340 (1780695788).bmp,merge,,,asm1,3,,fixed,340,340
1345,0.14674845465465455,889973,fixed 340x340 (1780695788).bmp,merge,,,asm1,3,,fixed,340,340
1346,0.0,308005,random2 200x200 (1272590008).bmp,merge,,,asm1,3,,random2,200,200
1347,0.14674845465465455,307336,random2 200x200 (1272590008).bmp,merge,,,asm1,3,,random2,200,200
1348,0.0,44321,fixed 76x76 (304089172).bmp,merge,,,asm1,3,,fixed,76,76
1349,0.14674845465465455,47120,fixed 76x76 (304089172).bmp,merge,,,asm1,3,,fixed,76,76
1350,0.0,307861,random2 200x200 (111632295).bmp,merge,,,asm1,3,,random2,200,200
1351,0.14674845465465455,313230,random2 200x200 (111632295).bmp,merge,,,asm1,3,,random2,200,200
1352,0.0,307440,random2 200x200 (1110322077).bmp,merge,,,asm1,3,,random2,200,200
1353,0.14674845465465455,326647,random2 200x200 (1110322077).bmp,merge,,,asm1,3,,random2,200,200
1354,0.0,301948,random2 200x200 (1904825301).bmp,merge,,,asm1,3,,random2,200,200
1355,0.14674845465465455,310691,random2 200x200 (1904825301).bmp,merge,,,asm1,3,,random2,200,200
1356,0.0,297132,random1 200x200 (476667372).bmp,merge,,,asm1,3,,random1,200,200
1357,0.14674845465465455,306978,random1 200x200 (476667372).bmp,merge,,,asm1,3,,random1,200,200
1358,0.0,44349,fixed 72x72 (1540383426).bmp,merge,,,asm1,3,,fixed,72,72
1359,0.14674845465465455,40093,fixed 72x72 (1540383426).bmp,merge,,,asm1,3,,fixed,72,72
1360,0.0,315230,random2 200x200 (1491826219).bmp,merge,,,asm1,3,,random2,200,200
1361,0.14674845465465455,315209,random2 200x200 (1491826219).bmp,merge,,,asm1,3,,random2,200,200
1362,0.0,455129,fixed 240x240 (135497281).bmp,merge,,,asm1,3,,fixed,240,240
1363,0.14674845465465455,810816,fixed 240x240 (135497281).bmp,merge,,,asm1,3,,fixed,240,240
1364,0.0,360785,fixed 216x216 (1424268980).bmp,merge,,,asm1,3,,fixed,216,216
1365,0.14674845465465455,376655,fixed 216x216 (1424268980).bmp,merge,,,asm1,3,,fixed,216,216
1366,0.0,311588,random2 200x200 (149362799).bmp,merge,,,asm1,3,,random2,200,200
1367,0.14674845465465455,332603,random2 200x200 (149362799).bmp,merge,,,asm1,3,,random2,200,200
1368,0.0,344975,fixed 208x208 (184803526).bmp,merge,,,asm1,3,,fixed,208,208
1369,0.14674845465465455,338180,fixed 208x208 (184803526).bmp,merge,,,asm1,3,,fixed,208,208
1370,0.0,321445,random2 200x200 (210173080).bmp,merge,,,asm1,3,,random2,200,200
1371,0.14674845465465455,380578,random2 200x200 (210173080).bmp,merge,,,asm1,3,,random2,200,200
1372,0.0,308166,random1 200x200 (434248626).bmp,merge,,,asm1,3,,random1,200,200
1373,0.14674845465465455,306866,random1 200x200 (434248626).bmp,merge,,,asm1,3,,random1,200,200
1374,0.0,938028,fixed 348x348 (491705403).bmp,merge,,,asm1,3,,fixed,348,348
1375,0.14674845465465455,983873,fixed 348x348 (491705403).bmp,merge,,,asm1,3,,fixed,348,348
1376,0.0,351007,random1 200x200 (1884661237).bmp,merge,,,asm1,3,,random1,200,200
1377,0.14674845465465455,312226,random1 200x200 (1884661237).bmp,merge,,,asm1,3,,random1,200,200
1378,0.0,317861,random2 200x200 (1641401680).bmp,merge,,,asm1,3,,random2,200,200
1379,0.14674845465465455,306924,random2 200x200 (1641401680).bmp,merge,,,asm1,3,,random2,200,200
1380,0.0,391735,fixed 224x224 (749241873).bmp,merge,,,asm1,3,,fixed,224,224
1381,0.14674845465465455,385273,fixed 224x224 (749241873).bmp,merge,,,asm1,3,,fixed,224,224
1382,0.0,122596,fixed 116x116 (2145174067).bmp,merge,,,asm1,3,,fixed,116,116
1383,0.14674845465465455,102739,fixed 116x116 (2145174067).bmp,merge,,,asm1,3,,fixed,116,116
1384,0.0,311683,random2 200x200 (1483653965).bmp,merge,,,asm1,3,,random2,200,200
1385,0.14674845465465455,311668,random2 200x200 (1483653965).bmp,merge,,,asm1,3,,random2,200,200
1386,0.0,313057,random2 200x200 (678517663).bmp,merge,,,asm1,3,,random2,200,200
1387,0.14674845465465455,310593,random2 200x200 (678517663).bmp,merge,,,asm1,3,,random2,200,200
1388,0.0,315413,random2 200x200 (267243337).bmp,merge,,,asm1,3,,random2,200,200
1389,0.14674845465465455,308050,random2 200x200 (267243337).bmp,merge,,,asm1,3,,random2,200,200
1390,0.0,118567,fixed 124x124 (1101513929).bmp,merge,,,asm1,3,,fixed,124,124
1391,0.14674845465465455,117309,fixed 124x124 (1101513929).bmp,merge,,,asm1,3,,fixed,124,124
1392,0.0,316357,random2 200x200 (2025457891).bmp,merge,,,asm1,3,,random2,200,200
1393,0.14674845465465455,308298,random2 200x200 (2025457891).bmp,merge,,,asm1,3,,random2,200,200
1394,0.0,308838,random1 200x200 (114723506).bmp,merge,,,asm1,3,,random1,200,200
1395,0.14674845465465455,307406,random1 200x200 (114723506).bmp,merge,,,asm1,3,,random1,200,200
1396,0.0,319287,random2 200x200 (1993704154).bmp,merge,,,asm1,3,,random2,200,200
1397,0.14674845465465455,306918,random2 200x200 (1993704154).bmp,merge,,,asm1,3,,random2,200,200
1398,0.0,148480,fixed 140x140 (1369133069).bmp,merge,,,asm1,3,,fixed,140,140
1399,0.14674845465465455,151560,fixed 140x140 (1369133069).bmp,merge,,,asm1,3,,fixed,140,140
1400,0.0,307351,random2 200x200 (889485400).bmp,merge,,,asm1,3,,random2,200,200
1401,0.14674845465465455,307693,random2 200x200 (889485400).bmp,merge,,,asm1,3,,random2,200,200
1402,0.0,306890,fixed 200x200 (2038664370).bmp,merge,,,asm1,3,,fixed,200,200
1403,0.14674845465465455,329098,fixed 200x200 (2038664370).bmp,merge,,,asm1,3,,fixed,200,200
1404,0.0,321094,random2 200x200 (500913976).bmp,merge,,,asm1,3,,random2,200,200
1405,0.14674845465465455,307241,random2 200x200 (500913976).bmp,merge,,,asm1,3,,random2,200,200
1406,0.0,307550,random2 200x200 (2101086718).bmp,merge,,,asm1,3,,random2,200,200
1407,0.14674845465465455,307211,random2 200x200 (2101086718).bmp,merge,,,asm1,3,,random2,200,200
1408,0.0,225299,fixed 172x172 (859484421).bmp,merge,,,asm1,3,,fixed,172,172
1409,0.14674845465465455,224314,fixed 172x172 (859484421).bmp,merge,,,asm1,3,,fixed,172,172
1410,0.0,335606,random1 200x200 (243268139).bmp,merge,,,asm1,3,,random1,200,200
1411,0.14674845465465455,308386,random1 200x200 (243268139).bmp,merge,,,asm1,3,,random1,200,200
1412,0.0,308209,random2 200x200 (326834681).bmp,merge,,,asm1,3,,random2,200,200
1413,0.14674845465465455,307983,random2 200x200 (326834681).bmp,merge,,,asm1,3,,random2,200,200
1414,0.0,306686,random1 200x200 (1782436840).bmp,merge,,,asm1,3,,random1,200,200
1415,0.14674845465465455,330298,random1 200x200 (1782436840).bmp,merge,,,asm1,3,,random1,200,200
1416,0.0,313096,random2 200x200 (1523873429).bmp,merge,,,asm1,3,,random2,200,200
1417,0.14674845465465455,306948,random2 200x200 (1523873429).bmp,merge,,,asm1,3,,random2,200,200
1418,0.0,307168,random2 200x200 (1240563377).bmp,merge,,,asm1,3,,random2,200,200
1419,0.14674845465465455,308163,random2 200x200 (1240563377).bmp,merge,,,asm1,3,,random2,200,200
1420,0.0,310205,random2 200x200 (408079536).bmp,merge,,,asm1,3,,random2,200,200
1421,0.14674845465465455,309628,random2 200x200 (408079536).bmp,merge,,,asm1,3,,random2,200,200
1422,0.0,313365,random1 200x200 (1469262009).bmp,merge,,,asm1,3,,random1,200,200
1423,0.14674845465465455,307815,random1 200x200 (1469262009).bmp,merge,,,asm1,3,,random1,200,200
1424,0.0,316048,random2 200x200 (355197215).bmp,merge,,,asm1,3,,random2,200,200
1425,0.14674845465465455,309958,random2 200x200 (355197215).bmp,merge,,,asm1,3,,random2,200,200
1426,0.0,308850,random2 200x200 (1115532105).bmp,merge,,,asm1,3,,random2,200,200
1427,0.14674845465465455,311286,random2 200x200 (1115532105).bmp,merge,,,asm1,3,,random2,200,200
1428,0.0,332206,random2 200x200 (163025128).bmp,merge,,,asm1,3,,random2,200,200
1429,0.14674845465465455,307006,random2 200x200 (163025128).bmp,merge,,,asm1,3,,random2,200,200
1430,0.0,251195,fixed 180x180 (608413784).bmp,merge,,,asm1,3,,fixed,180,180
1431,0.14674845465465455,245239,fixed 180x180 (608413784).bmp,merge,,,asm1,3,,fixed,180,180
1432,0.0,70030,fixed 96x96 (1726956429).bmp,merge,,,asm1,3,,fixed,96,96
1433,0.14674845465465455,70348,fixed 96x96 (1726956429).bmp,merge,,,asm1,3,,fixed,96,96
1434,0.0,306863,random2 200x200 (673967233).bmp,merge,,,asm1,3,,random2,200,200
1435,0.14674845465465455,328634,random2 200x200 (673967233).bmp,merge,,,asm1,3,,random2,200,200
1436,0.0,329135,random2 200x200 (1804275551).bmp,merge,,,asm1,3,,random2,200,200
1437,0.14674845465465455,309680,random2 200x200 (1804275551).bmp,merge,,,asm1,3,,random2,200,200
1438,0.0,1408387,fixed 388x388 (855636226).bmp,merge,,,asm1,3,,fixed,388,388
1439,0.14674845465465455,1230354,fixed 388x388 (855636226).bmp,merge,,,asm1,3,,fixed,388,388
1440,0.0,27617,fixed 60x60 (2044897763).bmp,merge,,,asm1,3,,fixed,60,60
1441,0.14674845465465455,28875,fixed 60x60 (2044897763).bmp,merge,,,asm1,3,,fixed,60,60
1442,0.0,308771,random1 200x200 (1662981776).bmp,merge,,,asm1,3,,random1,200,200
1443,0.14674845465465455,307375,random1 200x200 (1662981776).bmp,merge,,,asm1,3,,random1,200,200
1444,0.0,301365,random1 200x200 (1632621729).bmp,merge,,,asm1,3,,random1,200,200
1445,0.14674845465465455,320273,random1 200x200 (1632621729).bmp,merge,,,asm1,3,,random1,200,200
1446,0.0,308474,random2 200x200 (366978141).bmp,merge,,,asm1,3,,random2,200,200
1447,0.14674845465465455,307614,random2 200x200 (366978141).bmp,merge,,,asm1,3,,random2,200,200
1448,0.0,307421,random2 200x200 (155591899).bmp,merge,,,asm1,3,,random2,200,200
1449,0.14674845465465455,367659,random2 200x200 (155591899).bmp,merge,,,asm1,3,,random2,200,200
1450,0.0,460999,fixed 244x244 (511702305).bmp,merge,,,asm1,3,,fixed,244,244
1451,0.14674845465465455,458102,fixed 244x244 (511702305).bmp,merge,,,asm1,3,,fixed,244,244
1452,0.0,311145,random1 200x200 (201690613).bmp,merge,,,asm1,3,,random1,200,200
1453,0.14674845465465455,307672,random1 200x200 (201690613).bmp,merge,,,asm1,3,,random1,200,200
1454,0.0,553189,fixed 268x268 (805750846).bmp,merge,,,asm1,3,,fixed,268,268
1455,0.14674845465465455,2179026,fixed 268x268 (805750846).bmp,merge,,,asm1,3,,fixed,268,268
1456,0.0,139771,fixed 136x136 (635723058).bmp,merge,,,asm1,3,,fixed,136,136
1457,0.14674845465465455,141438,fixed 136x136 (635723058).bmp,merge,,,asm1,3,,fixed,136,136
1458,0.0,311164,random1 200x200 (971899228).bmp,merge,,,asm1,3,,random1,200,200
1459,0.14674845465465455,307073,random1 200x200 (971899228).bmp,merge,,,asm1,3,,random1,200,200
1460,0.0,313173,random1 200x200 (846942590).bmp,merge,,,asm1,3,,random1,200,200
1461,0.14674845465465455,307898,random1 200x200 (846942590).bmp,merge,,,asm1,3,,random1,200,200
1462,0.0,316219,random2 200x200 (1711667133).bmp,merge,,,asm1,3,,random2,200,200
1463,0.14674845465465455,318243,random2 200x200 (1711667133).bmp,merge,,,asm1,3,,random2,200,200
1464,0.0,313233,random1 200x200 (1548233367).bmp,merge,,,asm1,3,,random1,200,200
1465,0.14674845465465455,339419,random1 200x200 (1548233367).bmp,merge,,,asm1,3,,random1,200,200
1466,0.0,309237,random1 200x200 (593209441).bmp,merge,,,asm1,3,,random1,200,200
1467,0.14674845465465455,306951,random1 200x200 (593209441).bmp,merge,,,asm1,3,,random1,200,200
1468,0.0,303182,random1 200x200 (1335939811).bmp,merge,,,asm1,3,,random1,200,200
1469,0.14674845465465455,312901,random1 200x200 (1335939811).bmp,merge,,,asm1,3,,random1,200,200
1470,0.0,307626,random2 200x200 (75172477).bmp,merge,,,asm1,3,,random2,200,200
1471,0.14674845465465455,312880,random2 200x200 (75172477).bmp,merge,,,asm1,3,,random2,200,200
1472,0.0,312498,random2 200x200 (1395739259).bmp,merge,,,asm1,3,,random2,200,200
1473,0.14674845465465455,307470,random2 200x200 (1395739259).bmp,merge,,,asm1,3,,random2,200,200
1474,0.0,307394,random1 200x200 (555996658).bmp,merge,,,asm1,3,,random1,200,200
1475,0.14674845465465455,306686,random1 200x200 (555996658).bmp,merge,,,asm1,3,,random1,200,200
1476,0.0,309601,random1 200x200 (337739299).bmp,merge,,,asm1,3,,random1,200,200
1477,0.14674845465465455,307830,random1 200x200 (337739299).bmp,merge,,,asm1,3,,random1,200,200
1478,0.0,307712,random1 200x200 (1801979802).bmp,merge,,,asm1,3,,random1,200,200
1479,0.14674845465465455,307400,random1 200x200 (1801979802).bmp,merge,,,asm1,3,,random1,200,200
1480,0.0,307168,random1 200x200 (387346491).bmp,merge,,,asm1,3,,random1,200,200
1481,0.14674845465465455,307104,random1 200x200 (387346491).bmp,merge,,,asm1,3,,random1,200,200
1482,0.0,313838,random1 200x200 (1649760492).bmp,merge,,,asm1,3,,random1,200,200
1483,0.14674845465465455,307287,random1 200x200 (1649760492).bmp,merge,,,asm1,3,,random1,200,200
1484,0.0,306649,random2 200x200 (1812101828).bmp,merge,,,asm1,3,,random2,200,200
1485,0.14674845465465455,307748,random2 200x200 (1812101828).bmp,merge,,,asm1,3,,random2,200,200
1486,0.0,307654,random2 200x200 (1249410364).bmp,merge,,,asm1,3,,random2,200,200
1487,0.14674845465465455,309641,random2 200x200 (1249410364).bmp,merge,,,asm1,3,,random2,200,200
1488,0.0,307397,random2 200x200 (1136367389).bmp,merge,,,asm1,3,,random2,200,200
1489,0.14674845465465455,315761,random2 200x200 (1136367389).bmp,merge,,,asm1,3,,random2,200,200
1490,0.0,307479,random2 200x200 (730463925).bmp,merge,,,asm1,3,,random2,200,200
1491,0.14674845465465455,309998,random2 200x200 (730463925).bmp,merge,,,asm1,3,,random2,200,200
1492,0.0,5174,fixed 20x20 (1957747793).bmp,merge,,,asm1,3,,fixed,20,20
1493,0.14674845465465455,4048,fixed 20x20 (1957747793).bmp,merge,,,asm1,3,,fixed,20,20
1494,0.0,9304,fixed 24x24 (424238335).bmp,merge,,,asm1,3,,fixed,24,24
1495,0.14674845465465455,5608,fixed 24x24 (424238335).bmp,merge,,,asm1,3,,fixed,24,24
1496,0.0,774245,fixed 308x308 (610515434).bmp,merge,,,asm1,3,,fixed,308,308
1497,0.14674845465465455,749348,fixed 308x308 (610515434).bmp,merge,,,asm1,3,,fixed,308,308
1498,0.0,297097,random2 200x200 (1560034298).bmp,merge,,,asm1,3,,random2,200,200
1499,0.14674845465465455,6915566,random2 200x200 (1560034298).bmp,merge,,,asm1,3,,random2,200,200
1500,0.0,643907,random2 200x200 (1309478823).bmp,merge,,,c,3,,random2,200,200
1501,0.14674845465465455,633595,random2 200x200 (1309478823).bmp,merge,,,c,3,,random2,200,200
1502,0.0,653672,random1 200x200 (776532036).bmp,merge,,,c,3,,random1,200,200
1503,0.14674845465465455,654383,random1 200x200 (776532036).bmp,merge,,,c,3,,random1,200,200
