,alpha,experiment,filename,filter,h,l,language,make-param,mean,min,s,size,tmean,var
35,,hsl-force-first-if,hsl-empty-if-0-0-0 256x256 (1827336327),hsl,0,0,c,o0,16326488.04,9913098,0,256,10004500.52,222500876599553
36,,hsl-force-first-if,hsl-empty-if-0-0-0 124x124 (1101513929),hsl,0,0,c,o0,4378742.56,2343096,0,124,2358955.98,20010265892392.1
37,,hsl-force-first-if,hsl-empty-if-0-0-0 388x388 (855636226),hsl,0,0,c,o0,31570548.41,22834905,0,388,25450746.66,179984176918550
38,,hsl-force-first-if,hsl-empty-if-0-0-0 368x368 (1264095060),hsl,0,0,c,o0,24884112.07,21032189,0,368,21556645.18,125454133745011
39,,hsl-force-first-if,hsl-empty-if-0-0-0 260x260 (572660336),hsl,0,0,c,o0,11330971.39,9952428,0,260,10307585.38,21251379228846.1
40,,hsl-force-first-if,hsl-empty-if-0-0-0 64x64 (1967513926),hsl,0,0,c,o0,1043773.02,622917,0,64,624916,8218946609695.8
41,,hsl-force-first-if,hsl-empty-if-0-0-0 304x304 (1548233367),hsl,0,0,c,o0,17113677.23,13982541,0,304,14164482.86,93539820756303.8
42,,hsl-force-first-if,hsl-empty-if-0-0-0 340x340 (1780695788),hsl,0,0,c,o0,20917053.5,17570841,0,340,17662088.8,107457244759290
43,,hsl-force-first-if,hsl-empty-if-0-0-0 92x92 (294702567),hsl,0,0,c,o0,2329146.67,1281483,0,92,1285537.74,35464353613132.5
44,,hsl-force-first-if,hsl-empty-if-0-0-0 88x88 (521595368),hsl,0,0,c,o0,2393245.6,1204217,0,88,1208241.46,15533694937197.1
45,,hsl-force-first-if,hsl-empty-if-0-0-0 244x244 (511702305),hsl,0,0,c,o0,10698972.88,9022919,0,244,9072044.44,47314190552001.5
46,,hsl-force-first-if,hsl-empty-if-0-0-0 140x140 (1369133069),hsl,0,0,c,o0,3027656.76,2973654,0,140,2989519.98,56894014946.0833
47,,hsl-force-first-if,hsl-empty-if-0-0-0 184x184 (756898537),hsl,0,0,c,o0,8816688.18,5116635,0,184,5149222.62,107865837665232
48,,hsl-force-first-if,hsl-empty-if-0-0-0 312x312 (1585990364),hsl,0,0,c,o0,20554477.79,14539009,0,312,17124418.28,110841042122921
49,,hsl-force-first-if,hsl-empty-if-0-0-0 120x120 (468703135),hsl,0,0,c,o0,4799859.05,2180150,0,120,2190890.12,53715700927254
50,,hsl-force-first-if,hsl-empty-if-0-0-0 128x128 (1801979802),hsl,0,0,c,o0,4748834.7,2481301,0,128,2488889.42,86911277178193.1
51,,hsl-force-first-if,hsl-empty-if-0-0-0 376x376 (1843993368),hsl,0,0,c,o0,28710536.26,21457186,0,376,23724538.16,127288903430708
52,,hsl-force-first-if,hsl-empty-if-0-0-0 264x264 (1159126505),hsl,0,0,c,o0,10916614.81,10567636,0,264,10603351.36,2123781791824.91
53,,hsl-force-first-if,hsl-empty-if-0-0-0 300x300 (1998898814),hsl,0,0,c,o0,18721081.4,13588121,0,300,13767836.26,347609314448023
54,,hsl-force-first-if,hsl-empty-if-0-0-0 392x392 (1749698586),hsl,0,0,c,o0,32050322.95,23371594,0,392,24980605.1,304949640906116
55,,hsl-force-first-if,hsl-empty-if-0-0-0 236x236 (982906996),hsl,0,0,c,o0,13011664.55,8463348,0,236,9927682.92,57895790760700.4
56,,hsl-force-first-if,hsl-empty-if-0-0-0 24x24 (424238335),hsl,0,0,c,o0,88347.33,87553,0,24,88168.12,1684359.03141399
57,,hsl-force-first-if,hsl-empty-if-0-0-0 352x352 (1918502651),hsl,0,0,c,o0,23472452.06,18853202,0,352,19074649.6,122685666391430
58,,hsl-force-first-if,hsl-empty-if-0-0-0 12x12 (1681692777),hsl,0,0,c,o0,74902.1,22901,0,12,23560.26,263674834679.768
59,,hsl-force-first-if,hsl-empty-if-0-0-0 316x316 (1374344043),hsl,0,0,c,o0,17653366.11,14873503,0,316,15177983.16,101570823490908
60,,hsl-force-first-if,hsl-empty-if-0-0-0 156x156 (628175011),hsl,0,0,c,o0,4562678.06,3690622,0,156,3708385.28,8932439005933.92
61,,hsl-force-first-if,hsl-empty-if-0-0-0 176x176 (1914544919),hsl,0,0,c,o0,5471886.2,4697893,0,176,4726330.08,9451978817420.16
62,,hsl-force-first-if,hsl-empty-if-0-0-0 160x160 (1656478042),hsl,0,0,c,o0,5364941.47,3863145,0,160,3896408.02,46927902750533.4
63,,hsl-force-first-if,hsl-empty-if-0-0-0 248x248 (2084420925),hsl,0,0,c,o0,16424820.58,9305575,0,248,10776145.22,146308791480462
64,,hsl-force-first-if,hsl-empty-if-0-0-0 232x232 (42999170),hsl,0,0,c,o0,9140841.66,8163503,0,232,8443829.62,5772991015549.99
65,,hsl-force-first-if,hsl-empty-if-0-0-0 272x272 (1632621729),hsl,0,0,c,o0,14961401.42,11199455,0,272,11324537.94,61912163325175.3
66,,hsl-force-first-if,hsl-empty-if-0-0-0 104x104 (861021530),hsl,0,0,c,o0,3271989.37,1637737,0,104,1650740.78,66397311793668.3
67,,hsl-force-first-if,hsl-empty-if-0-0-0 344x344 (709393584),hsl,0,0,c,o0,24172925.6,17956287,0,344,19080654.2,123049083505995
68,,hsl-force-first-if,hsl-empty-if-0-0-0 148x148 (1059961393),hsl,0,0,c,o0,5782819.06,3367251,0,148,3492652.58,33543424783697.9
69,,hsl-force-first-if,hsl-empty-if-0-0-0 40x40 (1189641421),hsl,0,0,c,o0,578059.22,242675,0,40,243899.4,3628765221050.52
70,,hsl-force-first-if,hsl-empty-if-0-0-0 220x220 (1911759956),hsl,0,0,c,o0,10700648.17,7297676,0,220,8139166.18,89393452322047
71,,hsl-force-first-if,hsl-empty-if-0-0-0 168x168 (1653377373),hsl,0,0,c,o0,8509148.25,4290739,0,168,6143366.8,37995836818716.4
72,,hsl-force-first-if,hsl-empty-if-0-0-0 76x76 (304089172),hsl,0,0,c,o0,2644941.42,877406,0,76,894650.84,54282485916451.3
73,,hsl-force-first-if,hsl-empty-if-0-0-0 20x20 (1957747793),hsl,0,0,c,o0,66344.25,61422,0,20,62213.1,255584462.75505
74,,hsl-force-first-if,hsl-empty-if-0-0-0 396x396 (1469348094),hsl,0,0,c,o0,28567703.11,23797977,0,396,24221212.74,126362628895578
75,,hsl-force-first-if,hsl-empty-if-0-0-0 336x336 (1889947178),hsl,0,0,c,o0,30465273.43,17129296,0,336,24529734.62,289136292963873
76,,hsl-force-first-if,hsl-empty-if-0-0-0 200x200 (2038664370),hsl,0,0,c,o0,7257987.96,6066000,0,200,6089472.3,35191343052862.4
77,,hsl-force-first-if,hsl-empty-if-0-0-0 268x268 (805750846),hsl,0,0,c,o0,13071099.04,10900331,0,268,11225258.78,39045337062343.9
78,,hsl-force-first-if,hsl-empty-if-0-0-0 80x80 (1303455736),hsl,0,0,c,o0,2143373.35,973203,0,80,976159.32,28841909367489
79,,hsl-force-first-if,hsl-empty-if-0-0-0 152x152 (2089018456),hsl,0,0,c,o0,5698463.29,3509577,0,152,3523042.1,74947698225575
80,,hsl-force-first-if,hsl-empty-if-0-0-0 252x252 (1937477084),hsl,0,0,c,o0,12836740.46,9760514,0,252,9816048.34,92010013156360.3
81,,hsl-force-first-if,hsl-empty-if-0-0-0 56x56 (1102520059),hsl,0,0,c,o0,1059070.94,474583,0,56,477623.96,17325349749279
82,,hsl-force-first-if,hsl-empty-if-0-0-0 288x288 (84353895),hsl,0,0,c,o0,15204075.78,12596586,0,288,13313212.18,26132965596910.3
83,,hsl-force-first-if,hsl-empty-if-0-0-0 228x228 (137806862),hsl,0,0,c,o0,8313850.34,7640935,0,228,7916588.22,12111971838524
84,,hsl-force-first-if,hsl-empty-if-0-0-0 384x384 (1984210012),hsl,0,0,c,o0,29469581.27,22435429,0,384,23766021.22,124226598976330
85,,hsl-force-first-if,hsl-empty-if-0-0-0 356x356 (752392754),hsl,0,0,c,o0,24316557.66,19219875,0,356,20335792.46,106803577190784
86,,hsl-force-first-if,hsl-empty-if-0-0-0 196x196 (149798315),hsl,0,0,c,o0,8151684.74,5824595,0,196,5839618.04,71024156765742
87,,hsl-force-first-if,hsl-empty-if-0-0-0 4x4 (1804289383),hsl,0,0,c,o0,2856.98,2729,0,4,2814.3,73443.2319191923
88,,hsl-force-first-if,hsl-empty-if-0-0-0 324x324 (1477171087),hsl,0,0,c,o0,19314047.71,15574184,0,324,15968526.08,109370910200090
89,,hsl-force-first-if,hsl-empty-if-0-0-0 60x60 (2044897763),hsl,0,0,c,o0,575473.14,550414,0,60,553430.18,16708439510.4044
90,,hsl-force-first-if,hsl-empty-if-0-0-0 332x332 (945117276),hsl,0,0,c,o0,21307868.6,16717978,0,332,17983003.3,71864288689484.8
91,,hsl-force-first-if,hsl-empty-if-0-0-0 292x292 (939819582),hsl,0,0,c,o0,17576223.37,12934278,0,292,13409377.36,83628128091416.3
92,,hsl-force-first-if,hsl-empty-if-0-0-0 68x68 (1365180540),hsl,0,0,c,o0,758571.8,702746,0,68,705090.82,264303730181.818
93,,hsl-force-first-if,hsl-empty-if-0-0-0 116x116 (2145174067),hsl,0,0,c,o0,3276391.88,2047309,0,116,2057469.04,20493281466827.6
94,,hsl-force-first-if,hsl-empty-if-0-0-0 72x72 (1540383426),hsl,0,0,c,o0,1252264.76,784096,0,72,786848.9,13345567503998.7
95,,hsl-force-first-if,hsl-empty-if-0-0-0 208x208 (184803526),hsl,0,0,c,o0,7245021.11,6560639,0,208,6581668.94,15246897134765.8
96,,hsl-force-first-if,hsl-empty-if-0-0-0 328x328 (356426808),hsl,0,0,c,o0,19038408.8,16359489,0,328,17236509.92,21624305547052.3
97,,hsl-force-first-if,hsl-empty-if-0-0-0 224x224 (749241873),hsl,0,0,c,o0,8524201.31,7610238,0,224,7675896.9,7002348073572.8
98,,hsl-force-first-if,hsl-empty-if-0-0-0 84x84 (35005211),hsl,0,0,c,o0,2171736.03,1067923,0,84,1071443.7,11371303760046.6
99,,hsl-force-first-if,hsl-empty-if-0-0-0 8x8 (846930886),hsl,0,0,c,o0,10298.69,10098,0,8,10250.08,140459.973636357
100,,hsl-force-first-if,hsl-empty-if-0-0-0 28x28 (719885386),hsl,0,0,asm1,o0,156355.46,127447,0,28,128048.08,79900325761.564
101,,hsl-force-first-if,hsl-empty-if-0-0-0 216x216 (1424268980),hsl,0,0,asm1,o0,8621585.2,7582044,0,216,7614455.06,10246852952421.5
102,,hsl-force-first-if,hsl-empty-if-0-0-0 172x172 (859484421),hsl,0,0,asm1,o0,8824761.21,4810169,0,172,4844850.58,112051286011117
103,,hsl-force-first-if,hsl-empty-if-0-0-0 364x364 (2053999932),hsl,0,0,asm1,o0,29364402.4,21536890,0,364,23315367.2,162514786172750
104,,hsl-force-first-if,hsl-empty-if-0-0-0 296x296 (2001100545),hsl,0,0,asm1,o0,18556687,14110108,0,296,14488843.5,101661689282855
105,,hsl-force-first-if,hsl-empty-if-0-0-0 112x112 (233665123),hsl,0,0,asm1,o0,2969760.55,2036227,0,112,2045237.42,28203543864137.4
106,,hsl-force-first-if,hsl-empty-if-0-0-0 48x48 (1350490027),hsl,0,0,asm1,o0,406106.97,372980,0,48,374287.44,62222866309.7668
107,,hsl-force-first-if,hsl-empty-if-0-0-0 44x44 (1025202362),hsl,0,0,asm1,o0,662612.47,313560,0,44,314742.76,12071740059943.7
108,,hsl-force-first-if,hsl-empty-if-0-0-0 308x308 (610515434),hsl,0,0,asm1,o0,18942271.71,15411174,0,308,15791181.08,50546964375562.3
109,,hsl-force-first-if,hsl-empty-if-0-0-0 136x136 (635723058),hsl,0,0,asm1,o0,3465813.54,3001564,0,136,3017033.02,11596237438907.7
110,,hsl-force-first-if,hsl-empty-if-0-0-0 320x320 (760313750),hsl,0,0,asm1,o0,24333438.03,16281792,0,320,18809568.56,164921339420381
111,,hsl-force-first-if,hsl-empty-if-0-0-0 144x144 (1125898167),hsl,0,0,asm1,o0,4356819.31,3367227,0,144,3381664.76,21543665692286.4
112,,hsl-force-first-if,hsl-empty-if-0-0-0 96x96 (1726956429),hsl,0,0,asm1,o0,1557128.97,1494007,0,96,1500283.36,76283252512.6758
113,,hsl-force-first-if,hsl-empty-if-0-0-0 192x192 (1973594324),hsl,0,0,asm1,o0,7940280.67,5979971,0,192,6050821.28,17425076572979.5
114,,hsl-force-first-if,hsl-empty-if-0-0-0 188x188 (1734575198),hsl,0,0,asm1,o0,6650723.09,5733733,0,188,5766860.16,24541208719103.8
115,,hsl-force-first-if,hsl-empty-if-0-0-0 100x100 (336465782),hsl,0,0,asm1,o0,2341670.84,1622202,0,100,1627923.26,23871048866711.4
116,,hsl-force-first-if,hsl-empty-if-0-0-0 348x348 (491705403),hsl,0,0,asm1,o0,23790738.3,19703107,0,348,19833682.78,70955462793470.8
117,,hsl-force-first-if,hsl-empty-if-0-0-0 16x16 (1714636915),hsl,0,0,asm1,o0,41871.07,41513,0,16,41732,1067148.2879799
118,,hsl-force-first-if,hsl-empty-if-0-0-0 276x276 (1100661313),hsl,0,0,asm1,o0,15391694.96,12335136,0,276,12453884.5,37746861917729.7
119,,hsl-force-first-if,hsl-empty-if-0-0-0 108x108 (278722862),hsl,0,0,asm1,o0,3284793.26,1890067,0,108,1898661.72,40861626825677.2
120,,hsl-force-first-if,hsl-empty-if-0-0-0 36x36 (596516649),hsl,0,0,asm1,o0,212193.81,209740,0,36,210972.04,48129629.5695924
121,,hsl-force-first-if,hsl-empty-if-0-0-0 380x380 (943947739),hsl,0,0,asm1,o0,32567559.07,22958807,0,380,25177189.46,279002299439336
122,,hsl-force-first-if,hsl-empty-if-0-0-0 52x52 (783368690),hsl,0,0,asm1,o0,892194.2,437509,0,52,439111.28,8921880662229.72
123,,hsl-force-first-if,hsl-empty-if-0-0-0 180x180 (608413784),hsl,0,0,asm1,o0,7019757.93,5259718,0,180,5292418.22,41877553249112.4
124,,hsl-force-first-if,hsl-empty-if-0-0-0 360x360 (1474612399),hsl,0,0,asm1,o0,30779253.81,21035324,0,360,25941934.6,161339185495526
125,,hsl-force-first-if,hsl-empty-if-0-0-0 204x204 (1129566413),hsl,0,0,asm1,o0,7379207.85,6760059,0,204,6794255.36,21938325587639.4
126,,hsl-force-first-if,hsl-empty-if-0-0-0 212x212 (412776091),hsl,0,0,asm1,o0,12809797.54,7303345,0,212,7801753.6,121543667031998
127,,hsl-force-first-if,hsl-empty-if-0-0-0 280x280 (1433925857),hsl,0,0,asm1,o0,14506494.39,12699521,0,280,12824119,56777216983134.6
128,,hsl-force-first-if,hsl-empty-if-0-0-0 284x284 (1141616124),hsl,0,0,asm1,o0,17581356.67,13170991,0,284,13666679.82,72943575601221.5
129,,hsl-force-first-if,hsl-empty-if-0-0-0 240x240 (135497281),hsl,0,0,asm1,o0,13098933.55,9348052,0,240,9414257.54,79989337486199.9
130,,hsl-force-first-if,hsl-empty-if-0-0-0 164x164 (1131176229),hsl,0,0,asm1,o0,7080673.33,4367641,0,164,4419419.36,64174592825037.6
131,,hsl-force-first-if,hsl-empty-if-0-0-0 400x400 (1956297539),hsl,0,0,asm1,o0,30514361.61,25863477,0,400,26373513.16,123033233867333
132,,hsl-force-first-if,hsl-empty-if-0-0-0 32x32 (1649760492),hsl,0,0,asm1,o0,181920,166103,0,32,166849.52,13725759703.4545
133,,hsl-force-first-if,hsl-empty-if-0-0-0 132x132 (1315634022),hsl,0,0,asm1,o0,3123567.11,2824203,0,132,2838408,1162739696033.43
134,,hsl-force-first-if,hsl-empty-if-0-0-0 372x372 (1411549676),hsl,0,0,asm1,o0,27506304.02,22514635,0,372,23066228.88,135919283187757
135,,hsl-force-first-if,hsl-empty-if-0-0-0 256x256 (1827336327),hsl,0,0,asm1,o0,10805551.5,10610183,0,256,10690590.5,457417516298.768
136,,hsl-force-first-if,hsl-empty-if-0-0-0 124x124 (1101513929),hsl,0,0,asm1,o0,2537123.12,2500438,0,124,2510043.2,51729717331.904
137,,hsl-force-first-if,hsl-empty-if-0-0-0 388x388 (855636226),hsl,0,0,asm1,o0,28232969.63,24475282,0,388,25700055.6,51043379391451.5
138,,hsl-force-first-if,hsl-empty-if-0-0-0 368x368 (1264095060),hsl,0,0,asm1,o0,27625499.78,22023092,0,368,22315392.66,161965869592578
139,,hsl-force-first-if,hsl-empty-if-0-0-0 260x260 (572660336),hsl,0,0,asm1,o0,13291673.38,10974446,0,260,11504400.3,24551163397134.3
140,,hsl-force-first-if,hsl-empty-if-0-0-0 64x64 (1967513926),hsl,0,0,asm1,o0,1784154.5,664296,0,64,666294.4,18333079389621.3
141,,hsl-force-first-if,hsl-empty-if-0-0-0 304x304 (1548233367),hsl,0,0,asm1,o0,19064675.28,15003358,0,304,15119757.7,110654582455463
142,,hsl-force-first-if,hsl-empty-if-0-0-0 340x340 (1780695788),hsl,0,0,asm1,o0,22898353.16,18795575,0,340,18924247.82,118776224880508
143,,hsl-force-first-if,hsl-empty-if-0-0-0 92x92 (294702567),hsl,0,0,asm1,o0,2281175.86,1374548,0,92,1382460.98,11195547401903.3
144,,hsl-force-first-if,hsl-empty-if-0-0-0 88x88 (521595368),hsl,0,0,asm1,o0,1309267.05,1217649,0,88,1259348.6,247036978745.422
145,,hsl-force-first-if,hsl-empty-if-0-0-0 244x244 (511702305),hsl,0,0,asm1,o0,11337824.87,9695616,0,244,9730837.88,47353902415723.3
146,,hsl-force-first-if,hsl-empty-if-0-0-0 140x140 (1369133069),hsl,0,0,asm1,o0,4252369.18,3078003,0,140,3189441.56,25334484871045.2
147,,hsl-force-first-if,hsl-empty-if-0-0-0 184x184 (756898537),hsl,0,0,asm1,o0,7297554.07,5360946,0,184,5522395.16,40406149092573.4
148,,hsl-force-first-if,hsl-empty-if-0-0-0 312x312 (1585990364),hsl,0,0,asm1,o0,18039354.35,15822907,0,312,15882364.04,36151112730257.3
149,,hsl-force-first-if,hsl-empty-if-0-0-0 120x120 (468703135),hsl,0,0,asm1,o0,2518052.47,2338444,0,120,2343218.94,2002434607464.05
150,,hsl-force-first-if,hsl-empty-if-0-0-0 128x128 (1801979802),hsl,0,0,asm1,o0,3888481.37,2659065,0,128,2672903.06,44773813605487.5
151,,hsl-force-first-if,hsl-empty-if-0-0-0 376x376 (1843993368),hsl,0,0,asm1,o0,30135427.38,22967799,0,376,23641640.04,175580812858566
152,,hsl-force-first-if,hsl-empty-if-0-0-0 264x264 (1159126505),hsl,0,0,asm1,o0,12157204.8,11339638,0,264,11374587.9,16593292206421.1
153,,hsl-force-first-if,hsl-empty-if-0-0-0 300x300 (1998898814),hsl,0,0,asm1,o0,15024887.82,14626272,0,300,14652087.68,2156586018555.19
154,,hsl-force-first-if,hsl-empty-if-0-0-0 392x392 (1749698586),hsl,0,0,asm1,o0,30800871.08,25004380,0,392,25531511.82,210493149905233
155,,hsl-force-first-if,hsl-empty-if-0-0-0 236x236 (982906996),hsl,0,0,asm1,o0,12981638.26,9060305,0,236,9092912.72,118580272697565
156,,hsl-force-first-if,hsl-empty-if-0-0-0 24x24 (424238335),hsl,0,0,asm1,o0,94112.62,92833,0,24,93774.14,11439719.2480814
157,,hsl-force-first-if,hsl-empty-if-0-0-0 352x352 (1918502651),hsl,0,0,asm1,o0,24254566.09,20156545,0,352,20323350.26,106205787076829
158,,hsl-force-first-if,hsl-empty-if-0-0-0 12x12 (1681692777),hsl,0,0,asm1,o0,24205.23,23481,0,12,23808.24,13321568.2192929
159,,hsl-force-first-if,hsl-empty-if-0-0-0 316x316 (1374344043),hsl,0,0,asm1,o0,20336521.23,16253035,0,316,16512421.46,62712210125812.3
160,,hsl-force-first-if,hsl-empty-if-0-0-0 156x156 (628175011),hsl,0,0,asm1,o0,4022204.65,3949898,0,156,3966710.92,118066980305.078
161,,hsl-force-first-if,hsl-empty-if-0-0-0 176x176 (1914544919),hsl,0,0,asm1,o0,5466230.36,4883764,0,176,5052686.62,12133537779254.9
162,,hsl-force-first-if,hsl-empty-if-0-0-0 160x160 (1656478042),hsl,0,0,asm1,o0,4318333.38,4194499,0,160,4208787.44,545601772605.914
163,,hsl-force-first-if,hsl-empty-if-0-0-0 248x248 (2084420925),hsl,0,0,asm1,o0,13882704.37,9973137,0,248,10023581.8,113486871579712
164,,hsl-force-first-if,hsl-empty-if-0-0-0 232x232 (42999170),hsl,0,0,asm1,o0,10256000.56,8738924,0,232,8788965.84,23744703540986.1
165,,hsl-force-first-if,hsl-empty-if-0-0-0 272x272 (1632621729),hsl,0,0,asm1,o0,12212611.79,12027557,0,272,12058988.6,316394163647.192
166,,hsl-force-first-if,hsl-empty-if-0-0-0 104x104 (861021530),hsl,0,0,asm1,o0,1778640.5,1753184,0,104,1755424.96,7584608110.47475
167,,hsl-force-first-if,hsl-empty-if-0-0-0 344x344 (709393584),hsl,0,0,asm1,o0,25195891.54,19220242,0,344,19627001.84,138618159919413
168,,hsl-force-first-if,hsl-empty-if-0-0-0 148x148 (1059961393),hsl,0,0,asm1,o0,3720462.99,3552195,0,148,3569057.98,996111008032.939
169,,hsl-force-first-if,hsl-empty-if-0-0-0 40x40 (1189641421),hsl,0,0,asm1,o0,261221.24,259477,0,40,260402.36,23187549.9216185
170,,hsl-force-first-if,hsl-empty-if-0-0-0 220x220 (1911759956),hsl,0,0,asm1,o0,9770136.03,7867608,0,220,7895866.78,65596130105128.6
171,,hsl-force-first-if,hsl-empty-if-0-0-0 168x168 (1653377373),hsl,0,0,asm1,o0,7663672.48,4437205,0,168,4600518.78,87273482997312.4
172,,hsl-force-first-if,hsl-empty-if-0-0-0 76x76 (304089172),hsl,0,0,asm1,o0,1119621.96,938562,0,76,942537.7,744762166298.362
173,,hsl-force-first-if,hsl-empty-if-0-0-0 20x20 (1957747793),hsl,0,0,asm1,o0,86410.43,64713,0,20,65392.3,42364907111.0355
174,,hsl-force-first-if,hsl-empty-if-0-0-0 396x396 (1469348094),hsl,0,0,asm1,o0,28147180.37,25523413,0,396,26700676.54,32272492095386.5
175,,hsl-force-first-if,hsl-empty-if-0-0-0 336x336 (1889947178),hsl,0,0,asm1,o0,21862342.26,18369082,0,336,18660389.36,79883485522315.1
176,,hsl-force-first-if,hsl-empty-if-0-0-0 200x200 (2038664370),hsl,0,0,asm1,o0,9628900.29,6494214,0,200,6523048.56,94526824673515
177,,hsl-force-first-if,hsl-empty-if-0-0-0 268x268 (805750846),hsl,0,0,asm1,o0,15303234.83,11665314,0,268,11866554.42,76713675612498.1
